query	subject	qseqid	sseqid	pident	evalue	bitscore	cov_q	cov_s
174J8_P1_2	NC005856.0321	174J8_P1_2_95	NC005856.0321_00028	0.671	2.029e-29	111	0.8390804597701149	0.7849462365591398
170D8_P1_1	NC005856.0321	170D8_P1_1_5	NC005856.0321_00029	0.973	8.32e-114	360	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_96	NC005856.0321_00029	0.741	1.3369999999999999e-86	282	0.9789473684210528	1
204G7_N15	NC005856.0321	204G7_N15_51	NC005856.0321_00029	0.755	1.152e-83	274	0.9533678756476685	0.989247311827957
170D8_P1_1	NC005856.0321	170D8_P1_1_112	NC005856.0321_00033	0.443	8.331e-32	122	0.8986486486486487	0.9236111111111112
174J8_P1_2	NC005856.0321	174J8_P1_2_2	NC005856.0321_00033	0.986	9.009e-89	286	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_111	NC005856.0321_00034	0.459	3.254e-57	202	0.7900355871886121	0.7985611510791367
174J8_P1_2	NC005856.0321	174J8_P1_2_3	NC005856.0321_00034	0.974	3.406999999999999e-175	542	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_110	NC005856.0321_00035	0.42	1.3609999999999997e-106	355	0.9852941176470588	0.9832285115303984
174J8_P1_2	NC005856.0321	174J8_P1_2_4	NC005856.0321_00035	0.993	3.773e-304	946	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_109	NC005856.0321_00036	0.457	1.689e-19	85	0.8467741935483871	0.8898305084745762
174J8_P1_2	NC005856.0321	174J8_P1_2_5	NC005856.0321_00036	1	8.861e-75	244	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_6	NC005856.0321_00037	0.813	0	1868	1.0129975629569457	1.093859649122807
170D8_P1_1	NC005856.0321	170D8_P1_1_107	NC005856.0321_00038	0.397	2.9999999999999996e-59	207	1.0146520146520146	0.9453924914675768
174J8_P1_2	NC005856.0321	174J8_P1_2_7	NC005856.0321_00038	0.986	1.043e-198	611	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_105	NC005856.0321_00039	0.493	8.903e-45	164	0.6638297872340425	0.7684729064039408
174J8_P1_2	NC005856.0321	174J8_P1_2_8	NC005856.0321_00039	0.995	4.0839999999999994e-128	402	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_104	NC005856.0321_00040	0.524	2.806e-51	180	1	0.973404255319149
174J8_P1_2	NC005856.0321	174J8_P1_2_9	NC005856.0321_00040	0.973	1.664e-116	368	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_15	NC005856.0321_00048	0.977	1.769e-166	517	1	0.9572953736654805
174J8_P1_2	NC005856.0321	174J8_P1_2_16	NC005856.0321_00049	0.991	7.880999999999999e-156	484	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_17	NC005856.0321_00050	0.987	1.0629999999999999e-105	335	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_73	NC005856.0321_00051	0.397	8.573e-8	50	0.8058252427184466	0.8469387755102041
174J8_P1_2	NC005856.0321	174J8_P1_2_18	NC005856.0321_00051	0.938	1.076e-59	199	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_103	NC005856.0321_00052	0.554	1.217e-58	200	1.01840490797546	0.9822485207100592
174J8_P1_2	NC005856.0321	174J8_P1_2_19	NC005856.0321_00052	0.994	1.9199999999999995e-107	341	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_102	NC005856.0321_00053	0.427	5.575e-40	148	0.9540816326530612	0.9689119170984456
174J8_P1_2	NC005856.0321	174J8_P1_2_20	NC005856.0321_00053	0.993	3.356e-97	310	1	0.7979274611398963
170D8_P1_1	NC005856.0321	170D8_P1_1_101	NC005856.0321_00054	0.44	1.047e-32	129	0.7622950819672131	0.6863468634686347
174J8_P1_2	NC005856.0321	174J8_P1_2_21	NC005856.0321_00054	0.966	6.922e-153	478	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_100	NC005856.0321_00055	0.412	3.962999999999999e-118	392	1.0054347826086956	1.0491493383742911
174J8_P1_2	NC005856.0321	174J8_P1_2_22	NC005856.0321_00055	0.988	0	1055	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_97	NC005856.0321_00056	0.464	3.1639999999999996e-160	514	0.9631675874769796	0.920774647887324
174J8_P1_2	NC005856.0321	174J8_P1_2_23	NC005856.0321_00056	0.941	0	1084	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_24	NC005856.0321_00057	1	2.0149999999999997e-205	633	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_25	NC005856.0321_00058	0.997	1.746e-260	796	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_27	NC005856.0321_00059	0.405	1.198e-55	198	0.9897959183673468	1.0174825174825175
174J8_P1_2	NC005856.0321	174J8_P1_2_28	NC005856.0321_00060	0.953	3.7649999999999996e-80	260	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_29	NC005856.0321_00062	1	1.722e-80	261	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_30	NC005856.0321_00063	1	1.422e-154	482	1	0.9323843416370108
170D8_P1_1	NC005856.0321	170D8_P1_1_92	NC005856.0321_00064	0.574	6.511e-35	128	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_31	NC005856.0321_00065	1	2.282e-59	198	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_85	NC005856.0321_00066	0.51	1.8139999999999997e-88	293	0.9966777408637874	0.9966777408637874
174J8_P1_2	NC005856.0321	174J8_P1_2_32	NC005856.0321_00066	0.996	2.735e-191	590	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_33	NC005856.0321_00067	0.784	0	1342	1	1.143236074270557
170D8_P1_1	NC005856.0321	170D8_P1_1_27	NC005856.0321_00073	0.622	6.498e-12	59	0.9814814814814816	0.9814814814814816
174J8_P1_2	NC005856.0321	174J8_P1_2_37	NC005856.0321_00076	0.993	1.669e-291	888	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_38	NC005856.0321_00077	0.978	4.254999999999999e-223	684	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_84	NC005856.0321_00078	0.457	3.619e-52	184	0.9262672811059908	0.9571428571428572
174J8_P1_2	NC005856.0321	174J8_P1_2_39	NC005856.0321_00078	1	2.587e-133	418	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_83	NC005856.0321_00079	0.364	1.5940000000000002e-69	240	0.9846625766871164	0.9497041420118344
174J8_P1_2	NC005856.0321	174J8_P1_2_40	NC005856.0321_00079	0.994	5.1189999999999997e-222	681	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_41	NC005856.0321_00080	0.996	1.6199999999999996e-169	525	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_81	NC005856.0321_00081	0.455	2.53e-39	149	0.6007604562737643	0.6528925619834711
174J8_P1_2	NC005856.0321	174J8_P1_2_42	NC005856.0321_00081	1	9.864999999999998e-161	499	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_79	NC005856.0321_00082	0.573	5.234e-113	370	0.830423940149626	0.8222222222222222
174J8_P1_2	NC005856.0321	174J8_P1_2_43	NC005856.0321_00082	0.997	1.602e-259	793	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_78	NC005856.0321_00083	0.406	1.634e-15	73	0.8807339449541285	0.768
174J8_P1_2	NC005856.0321	174J8_P1_2_44	NC005856.0321_00083	1	2.777e-55	186	1	0.688
174J8_P1_2	NC005856.0321	174J8_P1_2_45	NC005856.0321_00084	1	9.293e-50	169	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_22	NC005856.0321_00085	0.573	3.73e-40	147	0.8343558282208589	0.7083333333333334
174J8_P1_2	NC005856.0321	174J8_P1_2_46	NC005856.0321_00085	0.989	4.699e-125	393	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_47	NC005856.0321_00086	1	1.283e-26	101	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_48	NC005856.0321_00088	1	8.31e-143	445	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_58	NC005856.0321_00089	0.863	4.6929999999999995e-130	409	0.9594594594594594	0.9260869565217392
174J8_P1_2	NC005856.0321	174J8_P1_2_49	NC005856.0321_00089	0.986	4.25e-154	479	1	0.9782608695652174
174J8_P1_2	NC005856.0321	174J8_P1_2_50	NC005856.0321_00090	0.978	9.414e-165	510	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_51	NC005856.0321_00091	1	2.7869999999999998e-45	156	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_52	NC005856.0321_00092	0.997	3.65e-270	825	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_53	NC005856.0321_00093	0.982	8.564e-110	347	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_43	NC005856.0321_00100	0.939	6.626e-45	156	1	0.9540229885057472
170D8_P1_1	NC005856.0321	170D8_P1_1_42	NC005856.0321_00102	0.961	3.587e-80	260	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_41	NC005856.0321_00103	1	7.357999999999999e-41	143	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_57	NC005856.0321_00103	1	7.357999999999999e-41	143	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_40	NC005856.0321_00104	0.911	2.132e-69	229	0.984126984126984	0.984126984126984
174J8_P1_2	NC005856.0321	174J8_P1_2_58	NC005856.0321_00104	1	1.568e-76	249	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_59	NC005856.0321_00105	0.983	5.513e-31	114	1	0.8939393939393939
170D8_P1_1	NC005856.0321	170D8_P1_1_57	NC005856.0321_00106	0.387	5.499e-70	241	1.0302114803625375	0.9827089337175792
174J8_P1_2	NC005856.0321	174J8_P1_2_60	NC005856.0321_00106	0.982	9.426999999999998e-237	724	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_61	NC005856.0321_00107	0.993	3.94e-94	301	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_62	NC005856.0321_00108	0.984	1.0739999999999999e-249	764	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_32	NC005856.0321_00109	0.555	3.2729999999999996e-176	558	0.9721115537848606	0.9878542510121456
174J8_P1_2	NC005856.0321	174J8_P1_2_63	NC005856.0321_00109	0.997	0	1017	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_66	NC005856.0321_00110	0.989	1.1569999999999998e-181	561	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_67	NC005856.0321_00111	0.971	6.386e-38	135	1	1
170D8_P1_1	NC050154.0321	170D8_P1_1_33	NC050154.0321_00001	0.997	1.099e-219	675	1	1
170D8_P1_1	NC050154.0321	170D8_P1_1_32	NC050154.0321_00002	0.992	0	1031	1	1
174J8_P1_2	NC050154.0321	174J8_P1_2_63	NC050154.0321_00002	0.554	1.8979999999999997e-177	561	0.9898785425101214	0.9741035856573704
170D8_P1_1	NC050154.0321	170D8_P1_1_31	NC050154.0321_00003	0.988	6.557e-276	843	1	1
170D8_P1_1	NC050154.0321	170D8_P1_1_30	NC050154.0321_00004	1	4.524e-82	265	1	1
170D8_P1_1	NC050154.0321	170D8_P1_1_29	NC050154.0321_00005	0.984	2.637e-83	269	1	1
170D8_P1_1	NC050154.0321	170D8_P1_1_28	NC050154.0321_00006	1	8.420999999999999e-125	392	1	1
170D8_P1_1	NC050154.0321	170D8_P1_1_27	NC050154.0321_00007	1	6.757e-25	96	1	1
170D8_P1_1	NC050154.0321	170D8_P1_1_26	NC050154.0321_00008	1	8.213e-88	283	1	1
170D8_P1_1	NC050154.0321	170D8_P1_1_25	NC050154.0321_00012	0.995	5.1659999999999995e-266	812	1	0.9877149877149876
170D8_P1_1	NC050154.0321	170D8_P1_1_24	NC050154.0321_00013	0.969	4.821999999999999e-54	183	1	1
170D8_P1_1	NC050154.0321	170D8_P1_1_23	NC050154.0321_00014	0.984	3.998e-38	135	1	1
170D8_P1_1	NC050154.0321	170D8_P1_1_22	NC050154.0321_00015	0.993	9.569999999999998e-107	338	1	0.9939024390243902
174J8_P1_2	NC050154.0321	174J8_P1_2_46	NC050154.0321_00015	0.573	5.274999999999999e-41	151	0.7083333333333334	0.8292682926829268
170D8_P1_1	NC050154.0321	170D8_P1_1_21	NC050154.0321_00016	1	9.840999999999999e-55	184	1	1
170D8_P1_1	NC050154.0321	170D8_P1_1_20	NC050154.0321_00017	0.984	6.3939999999999995e-81	262	1	0.875
174J8_P1_2	NC050154.0321	174J8_P1_2_79	NC050154.0321_00017	0.471	8.995999999999999e-37	136	0.9452054794520548	0.9583333333333334
170D8_P1_1	NC050154.0321	170D8_P1_1_19	NC050154.0321_00018	0.994	0	4550	1	1
174J8_P1_2	NC050154.0321	174J8_P1_2_80	NC050154.0321_00018	0.431	0	1521	0.8944567627494456	0.8854258121158911
170D8_P1_1	NC050154.0321	170D8_P1_1_18	NC050154.0321_00019	1	7.640999999999999e-109	344	1	1
170D8_P1_1	NC050154.0321	170D8_P1_1_17	NC050154.0321_00020	1	1.3839999999999998e-41	145	1	1
170D8_P1_1	NC050154.0321	170D8_P1_1_14	NC050154.0321_00023	0.978	8.221e-203	625	1	1
170D8_P1_1	NC050154.0321	170D8_P1_1_13	NC050154.0321_00024	0.969	1.7029999999999998e-207	639	0.9969879518072288	0.9969879518072288
174J8_P1_2	NC050154.0321	174J8_P1_2_82	NC050154.0321_00024	0.415	2.0449999999999997e-67	234	0.9793510324483776	1
170D8_P1_1	NC050154.0321	170D8_P1_1_12	NC050154.0321_00025	0.991	0	1111	0.998217468805704	1
174J8_P1_2	NC050154.0321	174J8_P1_2_81	NC050154.0321_00025	0.518	8.079999999999999e-162	520	0.8681898066783831	0.8821428571428571
170D8_P1_1	NC050154.0321	170D8_P1_1_11	NC050154.0321_00028	0.964	5.989e-275	841	0.9739696312364424	0.9889867841409692
170D8_P1_1	NC050154.0321	170D8_P1_1_10	NC050154.0321_00029	0.927	4.143e-68	225	1.0163934426229508	1
170D8_P1_1	NC050154.0321	170D8_P1_1_9	NC050154.0321_00030	0.875	0	1073	1.0108527131782945	1.0108527131782945
174J8_P1_2	NC050154.0321	174J8_P1_2_91	NC050154.0321_00030	0.384	8.228e-115	386	0.976525821596244	0.9674418604651164
170D8_P1_1	NC050154.0321	170D8_P1_1_8	NC050154.0321_00031	0.946	1.485e-113	361	0.9951219512195122	0.9902912621359224
174J8_P1_2	NC050154.0321	174J8_P1_2_92	NC050154.0321_00031	0.388	1.496e-24	103	0.72	0.6990291262135923
170D8_P1_1	NC050154.0321	170D8_P1_1_7	NC050154.0321_00032	0.993	1.3879999999999998e-94	302	0.9932432432432432	0.9932432432432432
170D8_P1_1	NC050154.0321	170D8_P1_1_6	NC050154.0321_00033	1	2.298e-62	207	1	1
174J8_P1_2	NC050154.0321	174J8_P1_2_94	NC050154.0321_00033	0.433	1.556e-18	81	0.9724770642201837	0.9814814814814816
170D8_P1_1	NC050154.0321	170D8_P1_1_5	NC050154.0321_00034	0.983	9.141999999999998e-115	363	1	1
174J8_P1_2	NC050154.0321	174J8_P1_2_96	NC050154.0321_00034	0.747	3.7859999999999997e-87	284	0.9789473684210528	1
204G7_N15	NC050154.0321	204G7_N15_51	NC050154.0321_00034	0.75	6.133e-84	274	0.9533678756476685	0.989247311827957
170D8_P1_1	NC050154.0321	170D8_P1_1_112	NC050154.0321_00039	0.966	1.0509999999999999e-91	294	1	1
174J8_P1_2	NC050154.0321	174J8_P1_2_2	NC050154.0321_00039	0.454	4.673e-31	119	0.9166666666666666	0.8918918918918919
170D8_P1_1	NC050154.0321	170D8_P1_1_111	NC050154.0321_00040	0.95	4.202999999999999e-179	554	1	1
174J8_P1_2	NC050154.0321	174J8_P1_2_3	NC050154.0321_00040	0.419	1.242e-55	197	0.9172661870503596	0.9074733096085408
170D8_P1_1	NC050154.0321	170D8_P1_1_110	NC050154.0321_00041	0.962	2.2589999999999996e-303	924	1	1
174J8_P1_2	NC050154.0321	174J8_P1_2_4	NC050154.0321_00041	0.424	1.115e-104	349	0.9832285115303984	0.9852941176470588
170D8_P1_1	NC050154.0321	170D8_P1_1_109	NC050154.0321_00042	0.975	1.56e-77	252	1	1
174J8_P1_2	NC050154.0321	174J8_P1_2_5	NC050154.0321_00042	0.457	1.32e-19	85	0.8898305084745762	0.8467741935483871
170D8_P1_1	NC050154.0321	170D8_P1_1_108	NC050154.0321_00043	0.882	0	2104	1	1.0023809523809524
170D8_P1_1	NC050154.0321	170D8_P1_1_107	NC050154.0321_00044	0.992	4.6589999999999994e-184	568	1	1
174J8_P1_2	NC050154.0321	174J8_P1_2_7	NC050154.0321_00044	0.389	1.988e-57	203	0.9453924914675768	1.0146520146520146
170D8_P1_1	NC050154.0321	170D8_P1_1_106	NC050154.0321_00045	1	1.6599999999999998e-161	501	1	1
170D8_P1_1	NC050154.0321	170D8_P1_1_105	NC050154.0321_00046	0.991	9.027999999999998e-147	458	1	1
174J8_P1_2	NC050154.0321	174J8_P1_2_8	NC050154.0321_00046	0.471	1.8759999999999998e-45	164	0.8571428571428571	0.7404255319148936
170D8_P1_1	NC050154.0321	170D8_P1_1_104	NC050154.0321_00047	1	6.353e-116	366	1	1
174J8_P1_2	NC050154.0321	174J8_P1_2_9	NC050154.0321_00047	0.524	5.245e-52	182	0.973404255319149	1
170D8_P1_1	NC050154.0321	170D8_P1_1_103	NC050154.0321_00048	1	3.3819999999999996e-106	337	1	1
174J8_P1_2	NC050154.0321	174J8_P1_2_19	NC050154.0321_00048	0.554	9.599999999999999e-57	195	0.9822485207100592	1.01840490797546
170D8_P1_1	NC050154.0321	170D8_P1_1_102	NC050154.0321_00049	1	1.4209999999999998e-117	372	0.9693877551020408	1
174J8_P1_2	NC050154.0321	174J8_P1_2_20	NC050154.0321_00049	0.436	2.684e-34	129	1.025974025974026	0.8315789473684211
170D8_P1_1	NC050154.0321	170D8_P1_1_101	NC050154.0321_00050	0.995	4.4179999999999996e-145	454	1	1
174J8_P1_2	NC050154.0321	174J8_P1_2_21	NC050154.0321_00050	0.41	1.025e-28	118	0.8007380073800738	0.889344262295082
170D8_P1_1	NC050154.0321	170D8_P1_1_100	NC050154.0321_00051	0.965	0	1050	1	1
174J8_P1_2	NC050154.0321	174J8_P1_2_22	NC050154.0321_00051	0.412	9.249e-119	392	1.054820415879017	1.0108695652173914
170D8_P1_1	NC050154.0321	170D8_P1_1_99	NC050154.0321_00052	0.934	1.069e-48	167	1	1
