seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
NZ_CP039495	47543	No terminal repeats	NA	75	11	0.981	NA	13	88.5034	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NC_012782	60455	No terminal repeats	NA	98	11	0.981	NA	18	88.9505	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP092913|provirus_72199_80237	8039	Provirus	72199-80237	9	11	0.9808	NA	5	9.4153	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP081694	29741	No terminal repeats	NA	53	11	0.9808	NA	6	66.5118	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NC_010182	64977	No terminal repeats	NA	87	11	0.9807	NA	11	60.9093	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP067310	53474	No terminal repeats	NA	73	11	0.9805	NA	14	87.1681	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP063485	39096	No terminal repeats	NA	54	11	0.9804	NA	7	72.7693	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_AP024256	51089	No terminal repeats	NA	71	11	0.9801	NA	9	72.0756	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP040784	61297	No terminal repeats	NA	82	11	0.9801	NA	11	52.6346	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP076267	38709	No terminal repeats	NA	49	11	0.9801	NA	9	66.8671	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP062261	62871	No terminal repeats	NA	100	11	0.9801	NA	13	79.4932	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP084708|provirus_82_39748	39667	Provirus	82-39748	54	11	0.98	NA	10	71.7056	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP012733	41686	No terminal repeats	NA	68	11	0.98	NA	12	83.5543	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP081467	135254	No terminal repeats	NA	177	11	0.9799	NA	6	91.1303	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP106764	41785	No terminal repeats	NA	61	11	0.9799	NA	10	78.7067	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP051476	6974	No terminal repeats	NA	15	11	0.9798	NA	4	18.6318	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP076867	24337	No terminal repeats	NA	26	11	0.9797	NA	14	34.3019	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP062396	43414	No terminal repeats	NA	62	11	0.9796	NA	11	88.0599	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP084811	44270	No terminal repeats	NA	49	11	0.9794	NA	16	64.7036	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP083127	5120	No terminal repeats	NA	9	11	0.9794	NA	0	9.3818	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae
NZ_CP034394	42977	No terminal repeats	NA	54	11	0.9793	NA	11	47.9756	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP058730|provirus_2_19968	19967	Provirus	2-19968	23	11	0.9793	NA	3	23.3064	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP095237	40479	No terminal repeats	NA	61	11	0.9792	NA	10	80.425	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP081460	135687	No terminal repeats	NA	177	11	0.9792	NA	6	87.696	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP045294|provirus_32529_44660	12132	Provirus	32529-44660	16	11	0.9792	NA	6	21.5875	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP092208|provirus_36_31219	31184	Provirus	36-31219	45	11	0.979	NA	7	37.9405	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_AP024758	41785	No terminal repeats	NA	62	11	0.979	NA	10	80.425	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP074176	39563	No terminal repeats	NA	56	11	0.979	NA	17	64.8207	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP015231|provirus_999_21446	20448	Provirus	999-21446	24	11	0.9789	NA	8	22.2124	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP079771	41027	No terminal repeats	NA	53	11	0.9789	NA	9	68.4153	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP081473	135625	No terminal repeats	NA	177	11	0.9789	NA	6	89.4121	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP053366	40446	No terminal repeats	NA	65	11	0.9789	NA	9	78.7286	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP103284	61862	No terminal repeats	NA	90	11	0.9788	NA	11	107.3505	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP022925	25082	No terminal repeats	NA	43	11	0.9788	NA	3	35.3335	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP079768	41027	No terminal repeats	NA	53	11	0.9787	NA	9	68.898	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP054610	40888	No terminal repeats	NA	53	11	0.9787	NA	7	39.6615	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP091495	85391	No terminal repeats	NA	136	11	0.9786	NA	25	151.7774	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP043906	41389	No terminal repeats	NA	61	11	0.9785	NA	12	85.3424	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP021446	41619	No terminal repeats	NA	51	11	0.9785	NA	7	68.5908	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP072659	37520	No terminal repeats	NA	54	11	0.9784	NA	10	64.7273	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_AP023416|provirus_759280_772553	13274	Provirus	759280-772553	12	11	0.9783	NA	3	13.9477	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP091500	50161	No terminal repeats	NA	74	11	0.9783	NA	17	88.3839	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP050055	6313	No terminal repeats	NA	7	11	0.9782	NA	1	8.4206	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae
NZ_CP012595	15957	No terminal repeats	NA	30	11	0.9781	NA	1	39.4174	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP046030	43387	No terminal repeats	NA	66	11	0.978	NA	15	67.9442	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP115943	35541	No terminal repeats	NA	47	11	0.978	NA	8	48.424	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NC_015459	41205	No terminal repeats	NA	67	11	0.9779	NA	17	59.9988	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP032366	137592	No terminal repeats	NA	184	11	0.9779	NA	5	103.4731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP054613|provirus_2439092_2478193	39102	Provirus	2439092-2478193	52	11	0.9778	NA	10	50.6582	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP084855	43550	No terminal repeats	NA	69	11	0.9777	NA	13	71.9952	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP069826	16752	No terminal repeats	NA	26	11	0.9777	NA	7	30.4187	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP058957	39346	No terminal repeats	NA	69	11	0.9777	NA	10	57.8812	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP056516|provirus_1_19742	19742	Provirus	1-19742	22	11	0.9774	NA	3	17.2566	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP031794	53774	No terminal repeats	NA	55	11	0.9774	NA	14	58.2353	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP022659|provirus_49435_69702	20268	Provirus	49435-69702	25	11	0.9774	NA	17	31.909	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP036006|provirus_71600_77112	5513	Provirus	71600-77112	13	11	0.9774	NA	0	10.5368	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP116508	33595	No terminal repeats	NA	48	11	0.9774	NA	8	50.6855	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP012736|provirus_3_9184	9182	Provirus	3-9184	20	11	0.9774	NA	3	24.9158	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP017592	47186	No terminal repeats	NA	62	11	0.9773	NA	19	57.9023	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP121501	41576	No terminal repeats	NA	55	11	0.9773	NA	11	70.7619	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_LR890486	53776	No terminal repeats	NA	53	11	0.9772	NA	13	54.8034	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP019279	22592	No terminal repeats	NA	34	11	0.9772	NA	17	35.4406	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP083846	51369	No terminal repeats	NA	92	11	0.9772	NA	16	105.6095	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP103578|provirus_141720_171654	29935	Provirus	141720-171654	39	11	0.9772	NA	15	55.2192	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NC_017073	73380	No terminal repeats	NA	100	11	0.9772	NA	5	49.2488	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP066520	55161	No terminal repeats	NA	56	11	0.9771	NA	14	59.3016	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_LR025094	55398	No terminal repeats	NA	57	11	0.9771	NA	13	61.4143	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP100516	54288	No terminal repeats	NA	56	11	0.9771	NA	13	60.731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP115942|provirus_1133394_1178526	45133	Provirus	1133394-1178526	52	11	0.9771	NA	10	56.785	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
NZ_CP068286|provirus_757161_792858	35698	Provirus	757161-792858	46	11	0.9771	NA	7	44.9984	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP037803	41319	No terminal repeats	NA	50	11	0.9771	NA	7	66.0491	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP028794	54847	No terminal repeats	NA	57	11	0.977	NA	14	58.1406	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP046964	55161	No terminal repeats	NA	56	11	0.977	NA	13	59.9793	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP095260	10895	No terminal repeats	NA	22	11	0.977	NA	1	10.6137	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP019203|provirus_74787_106389	31603	Provirus	74787-106389	41	11	0.977	NA	18	51.1531	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_OV408204	52608	No terminal repeats	NA	52	11	0.9769	NA	13	52.425	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP051374|provirus_76528_108372	31845	Provirus	76528-108372	41	11	0.9769	NA	18	46.3413	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP068286|provirus_915041_960173	45133	Provirus	915041-960173	52	11	0.9769	NA	10	56.785	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
NZ_CP082016	107713	No terminal repeats	NA	110	11	0.9769	NA	26	115.0332	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP042835	58586	No terminal repeats	NA	79	11	0.9768	NA	15	88.1884	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP107465	54463	No terminal repeats	NA	54	11	0.9768	NA	13	53.3852	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_LS991422	27649	No terminal repeats	NA	36	11	0.9768	NA	7	36.3111	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP056857	55736	No terminal repeats	NA	59	11	0.9768	NA	13	65.3612	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP104840	37292	No terminal repeats	NA	50	11	0.9768	NA	15	57.7307	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP107444	54467	No terminal repeats	NA	54	11	0.9768	NA	13	53.3852	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP017468	25678	No terminal repeats	NA	22	11	0.9767	NA	6	25.4021	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_OW970489	54404	No terminal repeats	NA	55	11	0.9767	NA	13	56.5864	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP028934	42403	No terminal repeats	NA	69	11	0.9767	NA	10	43.1303	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP042838	36294	No terminal repeats	NA	55	11	0.9767	NA	9	65.0802	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP045018	51887	No terminal repeats	NA	57	11	0.9767	NA	14	66.3776	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP121504	41585	No terminal repeats	NA	55	11	0.9767	NA	11	70.7619	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP107300	54881	No terminal repeats	NA	56	11	0.9767	NA	13	56.4224	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP107294	54881	No terminal repeats	NA	56	11	0.9767	NA	13	56.4224	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP009878	51622	No terminal repeats	NA	56	11	0.9767	NA	13	65.1269	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP008844	55298	No terminal repeats	NA	58	11	0.9766	NA	13	64.401	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_OW970369	53996	No terminal repeats	NA	54	11	0.9766	NA	13	57.1068	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP028104	42814	No terminal repeats	NA	70	11	0.9766	NA	6	22.1221	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP020346|provirus_302235_325254	23020	Provirus	302235-325254	31	11	0.9766	NA	10	35.1161	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_LN908215	16762	ITR	NA	20	11	0.9765	NA	4	17.0062	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP079635|provirus_165291_209853	44563	Provirus	165291-209853	66	11	0.9765	NA	7	78.7824	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP056156|provirus_258585_312972	54388	Provirus	258585-312972	81	11	0.9765	NA	14	83.1042	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_OW970417	55181	No terminal repeats	NA	57	11	0.9765	NA	14	56.6348	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP020929	31447	No terminal repeats	NA	39	11	0.9765	NA	10	29.0463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP007648	129218	No terminal repeats	NA	150	11	0.9765	NA	6	66.5654	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP014747	82007	No terminal repeats	NA	86	11	0.9764	NA	23	87.9388	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_OW970361	54404	No terminal repeats	NA	55	11	0.9764	NA	13	56.5864	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP091215	39549	No terminal repeats	NA	58	11	0.9764	NA	11	64.6881	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP041953	55133	No terminal repeats	NA	55	11	0.9764	NA	14	58.6103	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_OW970544	54404	No terminal repeats	NA	55	11	0.9764	NA	13	56.5864	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_LR134403|provirus_189458_232834	43377	Provirus	189458-232834	68	11	0.9763	NA	13	76.6708	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP012429	46883	No terminal repeats	NA	49	11	0.9762	NA	13	50.6693	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP061617	37244	No terminal repeats	NA	58	11	0.9762	NA	13	66.7642	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP024433	55118	No terminal repeats	NA	55	11	0.9762	NA	15	58.2304	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_LR134279	20564	No terminal repeats	NA	26	11	0.9762	NA	5	36.7987	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP114335	53712	No terminal repeats	NA	57	11	0.9762	NA	13	65.8632	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP076118	161917	No terminal repeats	NA	217	11	0.9762	NA	6	141.9528	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP090979	70482	No terminal repeats	NA	107	11	0.9761	NA	9	40.4315	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_LR134258|provirus_30_23842	23813	Provirus	30-23842	28	11	0.9761	NA	14	35.0458	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP009276	54715	No terminal repeats	NA	55	11	0.9761	NA	13	59.2212	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP093385	78932	No terminal repeats	NA	119	11	0.9761	NA	28	119.8769	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP083114	5120	No terminal repeats	NA	9	11	0.976	NA	0	9.3818	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae
NZ_CP082299	2709	No terminal repeats	NA	6	11	0.976	NA	2	8.373	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP109855	30824	No terminal repeats	NA	40	11	0.976	NA	16	51.0498	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP104216	41653	No terminal repeats	NA	68	11	0.9759	NA	10	51.9181	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP107405	54515	No terminal repeats	NA	54	11	0.9759	NA	13	53.3852	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP104682|provirus_1_28361	28361	Provirus	1-28361	35	11	0.9758	NA	19	37.3861	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_OW970533	54404	No terminal repeats	NA	55	11	0.9758	NA	13	56.5864	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP081918|provirus_105171_147675	42505	Provirus	105171-147675	60	11	0.9757	NA	10	62.2549	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP107317	54881	No terminal repeats	NA	56	11	0.9757	NA	13	56.4224	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP076524	41535	No terminal repeats	NA	70	11	0.9757	NA	9	49.6734	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP012912	11393	No terminal repeats	NA	21	11	0.9757	NA	0	21.4422	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP107429	54499	No terminal repeats	NA	54	11	0.9757	NA	13	53.3852	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP031273	43034	No terminal repeats	NA	74	11	0.9757	NA	11	59.2188	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP050366	55119	No terminal repeats	NA	55	11	0.9756	NA	14	57.1898	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_OW970564	54404	No terminal repeats	NA	55	11	0.9756	NA	13	58.3046	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP090208|provirus_344547_388300	43754	Provirus	344547-388300	73	11	0.9756	NA	16	77.2817	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP116504	32673	No terminal repeats	NA	46	11	0.9756	NA	8	44.8183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_LR890558	53776	No terminal repeats	NA	54	11	0.9756	NA	13	56.4999	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_LN824139	55416	ITR	NA	60	11	0.9756	NA	13	65.3612	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP008945	48068	No terminal repeats	NA	54	11	0.9756	NA	12	49.7873	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP041417|provirus_277377_306179	28803	Provirus	277377-306179	45	11	0.9755	NA	8	50.8162	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_LR890521	53943	No terminal repeats	NA	56	11	0.9755	NA	14	56.4995	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP058944	57223	No terminal repeats	NA	56	11	0.9755	NA	14	57.1898	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_AP025826	47294	No terminal repeats	NA	61	11	0.9754	NA	17	71.9208	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP050499	76269	No terminal repeats	NA	82	11	0.9754	NA	17	74.877	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP100512	54288	No terminal repeats	NA	57	11	0.9754	NA	13	61.9801	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP104448|provirus_3819134_3862378	43245	Provirus	3819134-3862378	50	11	0.9754	NA	6	53.6443	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
