V1,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
27,NZ_CP012954,Unassigned,Unassigned,Unassigned,1421_0,Clustered,35,VC_1421_0,35,0.9996,0.9999442,0.9996,0,0,0,1
28,NZ_CP012953,Unassigned,Unassigned,Unassigned,1858_0,Clustered,2,VC_1858_0,2,0.7856,0.5,0.3928,0,0,0,1
29,NZ_LN865144,Unassigned,Unassigned,Unassigned,1141_0,Clustered,11,VC_1141_0,11,0.2593,1,0.2593,0,0,0,1
30,NZ_CP013925,Unassigned,Unassigned,Unassigned,644_0,Clustered,5,VC_644_0,5,0.0991,0.99999997,0.0991,0,0,0,1
31,NZ_LN997847,Unassigned,Unassigned,Unassigned,1141_0,Clustered,11,VC_1141_0,11,0.2593,1,0.2593,0,0,0,1
32,NZ_CP014216,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
33,NZ_CP015366,Unassigned,Unassigned,Unassigned,421_0,Clustered,54,VC_421_0,54,0.4149,1,0.4149,0,0,0,0.993
34,NZ_CP015365,Unassigned,Unassigned,Unassigned,503_0,Clustered,27,VC_503_0,27,0.3736,1,0.3736,0,0,0,1
35,NZ_CP035050,Unassigned,Unassigned,Unassigned,503_0,Clustered,27,VC_503_0,27,0.3736,1,0.3736,0,0,0,1
36,NZ_CP035046,Unassigned,Unassigned,Unassigned,849_0,Clustered,8,VC_849_0,8,0.1177,1,0.1177,0,0,0,1
37,NZ_CP035047,Unassigned,Unassigned,Unassigned,421_0,Clustered,54,VC_421_0,54,0.4149,1,0.4149,0,0,0,0.993
38,NZ_CP035048,Unassigned,Unassigned,Unassigned,581_0,Clustered,96,VC_581_0,96,0.6884,1,0.6884,0,0,0,1
39,NZ_CP035052,Unassigned,Unassigned,Unassigned,421_0,Clustered,54,VC_421_0,54,0.4149,1,0.4149,0,0,0,0.993
40,NZ_CP035053,Unassigned,Unassigned,Unassigned,581_0,Clustered,96,VC_581_0,96,0.6884,1,0.6884,0,0,0,1
41,NZ_CP035044,Unassigned,Unassigned,Unassigned,581_0,Clustered,96,VC_581_0,96,0.6884,1,0.6884,0,0,0,1
42,NZ_CP017643,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
43,NZ_CP017645,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
44,NZ_CP017647,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
45,NZ_CP017649,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
46,NZ_CP017651,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
47,NZ_CP017653,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
48,NZ_CP017655,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
49,NZ_CP017657,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
50,NZ_CP018144,Unassigned,Unassigned,Unassigned,722_0,Clustered,20,VC_722_0,20,0.7665,1,0.7665,0,0,0,1
51,NZ_AP023078,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
52,NZ_AP023079,Unassigned,Unassigned,Unassigned,439_0,Clustered,27,VC_439_0,27,0.738,1,0.738,0,0,0,1
53,NZ_CP018257,Unassigned,Unassigned,Unassigned,482_0,Clustered,83,VC_482_0,83,0.8375,1,0.8375,0,0,0,0.9665
54,NZ_CP018255,Unassigned,Unassigned,Unassigned,1010_0,Clustered,11,VC_1010_0,11,0.2657,1,0.2657,0,0,0,1
55,NZ_CP018422,Unassigned,Unassigned,Unassigned,722_0,Clustered,20,VC_722_0,20,0.7665,1,0.7665,0,0,0,1
56,NZ_CP018678,Unassigned,Unassigned,Unassigned,1010_0,Clustered,11,VC_1010_0,11,0.2657,1,0.2657,0,0,0,1
57,NZ_CP018679,Unassigned,Unassigned,Unassigned,1421_0,Clustered,35,VC_1421_0,35,0.9996,0.9999442,0.9996,0,0,0,1
58,NZ_CP016296,Unassigned,Unassigned,Unassigned,482_0,Clustered,83,VC_482_0,83,0.8375,1,0.8375,0,0,0,0.9665
59,NZ_CP016297,Unassigned,Unassigned,Unassigned,421_0,Clustered,54,VC_421_0,54,0.4149,1,0.4149,0,0,0,0.993
60,NZ_CP016299,Unassigned,Unassigned,Unassigned,482_0,Clustered,83,VC_482_0,83,0.8375,1,0.8375,0,0,0,0.9665
61,NZ_CP016301,Unassigned,Unassigned,Unassigned,482_0,Clustered,83,VC_482_0,83,0.8375,1,0.8375,0,0,0,0.9665
62,NZ_CP016302,Unassigned,Unassigned,Unassigned,421_0,Clustered,54,VC_421_0,54,0.4149,1,0.4149,0,0,0,0.993
63,NZ_CP020582,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
64,NZ_CP020585,Unassigned,Unassigned,Unassigned,482_0,Clustered,83,VC_482_0,83,0.8375,1,0.8375,0,0,0,0.9665
65,NZ_CP020589,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
66,NZ_CP020573,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
67,NZ_CP020575,Unassigned,Unassigned,Unassigned,581_0,Clustered,96,VC_581_0,96,0.6884,1,0.6884,0,0,0,1
68,NZ_CP020593,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
69,NZ_CP020596,Unassigned,Unassigned,Unassigned,127_2,Clustered,22,VC_127_2,22,0.2335,1,0.2335,0,0,0,0.8095
70,NZ_CP020594,Unassigned,Unassigned,Unassigned,421_0,Clustered,54,VC_421_0,54,0.4149,1,0.4149,0,0,0,0.993
71,NZ_CP020577,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
72,NZ_CP020576,Unassigned,Unassigned,Unassigned,581_0,Clustered,96,VC_581_0,96,0.6884,1,0.6884,0,0,0,1
73,NZ_CP020580,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
74,NZ_CP015122,Unassigned,Unassigned,Unassigned,613_0,Clustered,29,VC_613_0,29,0.5109,1,0.5109,0,0,0,1
75,NZ_CP021787,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
76,NZ_CP021786,Unassigned,Unassigned,Unassigned,581_0,Clustered,96,VC_581_0,96,0.6884,1,0.6884,0,0,0,1
77,NZ_CP021785,Unassigned,Unassigned,Unassigned,1244_0,Clustered,38,VC_1244_0,38,0.9368,1,0.9368,0,0,0,1
78,NZ_CP021783,Unassigned,Unassigned,Unassigned,1781_0,Clustered,10,VC_1781_0,10,0.7823,0.99999995,0.7823,0,0,0,1
79,NZ_CP021784,Unassigned,Unassigned,Unassigned,2162_0,Clustered,6,VC_2162_0,6,1,1,1,0,0,0,1
80,NZ_CP018333,Unassigned,Unassigned,Unassigned,482_0,Clustered,83,VC_482_0,83,0.8375,1,0.8375,0,0,0,0.9665
81,NZ_CP018334,Unassigned,Unassigned,Unassigned,628_0,Clustered,10,VC_628_0,10,0.5591,1,0.5591,0,0,0,1
82,NZ_CP024578,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
83,NZ_CP024125,Unassigned,Unassigned,Unassigned,482_0,Clustered,83,VC_482_0,83,0.8375,1,0.8375,0,0,0,0.9665
84,NZ_CP025267,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
85,NZ_CP026129,Unassigned,Unassigned,Unassigned,116_10,Clustered,6,VC_116_10,6,0.0942,1,0.0942,0,0,0,1
86,NZ_CP026128,Unassigned,Unassigned,Unassigned,482_0,Clustered,83,VC_482_0,83,0.8375,1,0.8375,0,0,0,0.9665
87,NZ_CP026127,Unassigned,Unassigned,Unassigned,439_0,Clustered,27,VC_439_0,27,0.738,1,0.738,0,0,0,1
88,NZ_CP026126,Unassigned,Unassigned,Unassigned,503_0,Clustered,27,VC_503_0,27,0.3736,1,0.3736,0,0,0,1
89,NZ_CP026705,Unassigned,Unassigned,Unassigned,849_0,Clustered,8,VC_849_0,8,0.1177,1,0.1177,0,0,0,1
90,NZ_CP026706,Unassigned,Unassigned,Unassigned,421_0,Clustered,54,VC_421_0,54,0.4149,1,0.4149,0,0,0,0.993
91,NZ_CP026708,Unassigned,Unassigned,Unassigned,581_0,Clustered,96,VC_581_0,96,0.6884,1,0.6884,0,0,0,1
92,NZ_CP026712,Unassigned,Unassigned,Unassigned,421_0,Clustered,54,VC_421_0,54,0.4149,1,0.4149,0,0,0,0.993
93,NZ_CP027529,Unassigned,Unassigned,Unassigned,581_0,Clustered,96,VC_581_0,96,0.6884,1,0.6884,0,0,0,1
94,NZ_CP027243,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
95,NZ_CP027244,Unassigned,Unassigned,Unassigned,581_0,Clustered,96,VC_581_0,96,0.6884,1,0.6884,0,0,0,1
96,NZ_CP027531,Unassigned,Unassigned,Unassigned,127_2,Clustered,22,VC_127_2,22,0.2335,1,0.2335,0,0,0,0.8095
97,NZ_CP027532,Unassigned,Unassigned,Unassigned,439_0,Clustered,27,VC_439_0,27,0.738,1,0.738,0,0,0,1
98,NZ_CP027608,Unassigned,Unassigned,Unassigned,849_0,Clustered,8,VC_849_0,8,0.1177,1,0.1177,0,0,0,1
99,NZ_CP027609,Unassigned,Unassigned,Unassigned,581_0,Clustered,96,VC_581_0,96,0.6884,1,0.6884,0,0,0,1
100,NZ_CP027610,Unassigned,Unassigned,Unassigned,615_0,Clustered,21,VC_615_0,21,0.5937,1,0.5937,0,0,0,1
101,NZ_CP027122,Unassigned,Unassigned,Unassigned,849_0,Clustered,8,VC_849_0,8,0.1177,1,0.1177,0,0,0,1
102,NZ_CP027121,Unassigned,Unassigned,Unassigned,421_0,Clustered,54,VC_421_0,54,0.4149,1,0.4149,0,0,0,0.993
103,NZ_CP027124,Unassigned,Unassigned,Unassigned,581_0,Clustered,96,VC_581_0,96,0.6884,1,0.6884,0,0,0,1
104,NZ_CP029570,Unassigned,Unassigned,Unassigned,849_0,Clustered,8,VC_849_0,8,0.1177,1,0.1177,0,0,0,1
105,NZ_CP029571,Unassigned,Unassigned,Unassigned,421_0,Clustered,54,VC_421_0,54,0.4149,1,0.4149,0,0,0,0.993
106,NZ_CP029573,Unassigned,Unassigned,Unassigned,581_0,Clustered,96,VC_581_0,96,0.6884,1,0.6884,0,0,0,1
107,NZ_CP029572,Unassigned,Unassigned,Unassigned,1833_0,Clustered,7,VC_1833_0,7,0.798,1,0.798,0,0,0,1
108,NZ_CP021322,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
109,NZ_CP021327,Unassigned,Unassigned,Unassigned,482_0,Clustered,83,VC_482_0,83,0.8375,1,0.8375,0,0,0,0.9665
110,NZ_CP019218,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
111,NZ_CP030084,Unassigned,Unassigned,Unassigned,581_0,Clustered,96,VC_581_0,96,0.6884,1,0.6884,0,0,0,1
112,NZ_CP030109,Unassigned,Unassigned,Unassigned,421_0,Clustered,54,VC_421_0,54,0.4149,1,0.4149,0,0,0,0.993
113,NZ_CP030108,Unassigned,Unassigned,Unassigned,2162_0,Clustered,6,VC_2162_0,6,1,1,1,0,0,0,1
114,NZ_CP026339,Unassigned,Unassigned,Unassigned,615_0,Clustered,21,VC_615_0,21,0.5937,1,0.5937,0,0,0,1
115,NZ_CP022285,Unassigned,Unassigned,Unassigned,127_1,Clustered,4,VC_127_1,4,0.0274,0.99989532,0.0274,0,0,0,0.8333
116,NZ_CP022284,Unassigned,Unassigned,Unassigned,503_0,Clustered,27,VC_503_0,27,0.3736,1,0.3736,0,0,0,1
117,NZ_CP027179,Unassigned,Unassigned,Unassigned,557_0,Clustered,5,VC_557_0,5,0.0712,0.99998426,0.0712,0,0,0,1
118,NZ_CP027181,Unassigned,Unassigned,Unassigned,1421_0,Clustered,35,VC_1421_0,35,0.9996,0.9999442,0.9996,0,0,0,1
119,NZ_CP023033,Unassigned,Unassigned,Unassigned,421_0,Clustered,54,VC_421_0,54,0.4149,1,0.4149,0,0,0,0.993
120,NZ_CP023032,Unassigned,Unassigned,Unassigned,503_0,Clustered,27,VC_503_0,27,0.3736,1,0.3736,0,0,0,1
121,NZ_CP023021,Unassigned,Unassigned,Unassigned,1833_0,Clustered,7,VC_1833_0,7,0.798,1,0.798,0,0,0,1
122,NZ_CP023025,Unassigned,Unassigned,Unassigned,482_0,Clustered,83,VC_482_0,83,0.8375,1,0.8375,0,0,0,0.9665
123,NZ_CP023023,Unassigned,Unassigned,Unassigned,1507_0,Clustered,2,VC_1507_0,2,0.0392,0.90041849,0.0353,0,0,0,1
124,NZ_CP023028,Unassigned,Unassigned,Unassigned,421_0,Clustered,54,VC_421_0,54,0.4149,1,0.4149,0,0,0,0.993
125,NZ_CP023027,Unassigned,Unassigned,Unassigned,1833_0,Clustered,7,VC_1833_0,7,0.798,1,0.798,0,0,0,1
126,NZ_CP023030,Unassigned,Unassigned,Unassigned,421_0,Clustered,54,VC_421_0,54,0.4149,1,0.4149,0,0,0,0.993
127,NZ_CP023035,Unassigned,Unassigned,Unassigned,1833_0,Clustered,7,VC_1833_0,7,0.798,1,0.798,0,0,0,1
128,NZ_CP027184,Unassigned,Unassigned,Unassigned,557_0,Clustered,5,VC_557_0,5,0.0712,0.99998426,0.0712,0,0,0,1
129,NZ_CP027187,Unassigned,Unassigned,Unassigned,1421_0,Clustered,35,VC_1421_0,35,0.9996,0.9999442,0.9996,0,0,0,1
130,NZ_CP033753,Unassigned,Unassigned,Unassigned,455_0,Clustered,4,VC_455_0,4,0.0887,0.99998593,0.0887,0,0,0,1
131,NZ_CP033751,Unassigned,Unassigned,Unassigned,503_0,Clustered,27,VC_503_0,27,0.3736,1,0.3736,0,0,0,1
132,NZ_CP033769,Unassigned,Unassigned,Unassigned,116_7,Clustered,7,VC_116_7,7,0.1303,1,0.1303,0,0,0,1
133,NZ_CP033770,Unassigned,Unassigned,Unassigned,1421_0,Clustered,35,VC_1421_0,35,0.9996,0.9999442,0.9996,0,0,0,1
134,NZ_CP033872,Unassigned,Unassigned,Unassigned,557_0,Clustered,5,VC_557_0,5,0.0712,0.99998426,0.0712,0,0,0,1
135,NZ_CP033871,Unassigned,Unassigned,Unassigned,503_0,Clustered,27,VC_503_0,27,0.3736,1,0.3736,0,0,0,1
136,NZ_CP039342,Unassigned,Unassigned,Unassigned,2163_0,Clustered,4,VC_2163_0,4,0.9873,0.99892156,0.9862,0,0,0,1
137,NZ_CP039519,Unassigned,Unassigned,Unassigned,482_0,Clustered,83,VC_482_0,83,0.8375,1,0.8375,0,0,0,0.9665
138,NZ_CP039344,Unassigned,Unassigned,Unassigned,2163_0,Clustered,4,VC_2163_0,4,0.9873,0.99892156,0.9862,0,0,0,1
139,NZ_CP039994,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
140,NZ_CP039931,Unassigned,Unassigned,Unassigned,1327_0,Clustered,3,VC_1327_0,3,0.0601,0.9758512,0.0586,0,0,0,1
141,NZ_CP039932,Unassigned,Unassigned,Unassigned,2163_0,Clustered,4,VC_2163_0,4,0.9873,0.99892156,0.9862,0,0,0,1
142,NZ_CP039933,Unassigned,Unassigned,Unassigned,615_0,Clustered,21,VC_615_0,21,0.5937,1,0.5937,0,0,0,1
143,NZ_CP034093,Unassigned,Unassigned,Unassigned,482_0,Clustered,83,VC_482_0,83,0.8375,1,0.8375,0,0,0,0.9665
144,NZ_CP034097,Unassigned,Unassigned,Unassigned,674_0,Clustered,2,VC_674_0,2,0.1327,0.95252713,0.1264,0,0,0,1
145,NZ_CP034096,Unassigned,Unassigned,Unassigned,2106_0,Clustered,6,VC_2106_0,6,0.6809,0.74937034,0.5103,0,0,0,1
146,NZ_CP031445,Unassigned,Unassigned,Unassigned,849_0,Clustered,8,VC_849_0,8,0.1177,1,0.1177,0,0,0,1
147,NZ_CP031446,Unassigned,Unassigned,Unassigned,581_0,Clustered,96,VC_581_0,96,0.6884,1,0.6884,0,0,0,1
148,NZ_CP038263,Unassigned,Unassigned,Unassigned,116_13,Clustered/Singleton,1,VC_116_13,1,0,1,0,0,0,0,1
149,NZ_CP038264,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
150,NZ_CP038259,Unassigned,Unassigned,Unassigned,116_19,Clustered/Singleton,1,VC_116_19,1,0,1,0,0,0,0,1
151,NZ_CP038645,Unassigned,Unassigned,Unassigned,482_0,Clustered,83,VC_482_0,83,0.8375,1,0.8375,0,0,0,0.9665
152,NZ_CP038647,Unassigned,Unassigned,Unassigned,1421_0,Clustered,35,VC_1421_0,35,0.9996,0.9999442,0.9996,0,0,0,1
153,NZ_CP038649,Unassigned,Unassigned,Unassigned,1421_0,Clustered,35,VC_1421_0,35,0.9996,0.9999442,0.9996,0,0,0,1
154,NZ_CP038650,Unassigned,Unassigned,Unassigned,1421_0,Clustered,35,VC_1421_0,35,0.9996,0.9999442,0.9996,0,0,0,1
155,NZ_CP038651,Unassigned,Unassigned,Unassigned,1421_0,Clustered,35,VC_1421_0,35,0.9996,0.9999442,0.9996,0,0,0,1
156,NZ_CP040051,Unassigned,Unassigned,Unassigned,127_4,Clustered,18,VC_127_4,18,0.1146,1,0.1146,0,0,0,0.7386
157,NZ_CP040052,Unassigned,Unassigned,Unassigned,1244_0,Clustered,38,VC_1244_0,38,0.9368,1,0.9368,0,0,0,1
158,NZ_CP040082,Unassigned,Unassigned,Unassigned,487_0,Clustered,2,VC_487_0,2,0.0114,0.65088579,0.0074,0,0,0,1
159,NZ_CP040086,Unassigned,Unassigned,Unassigned,613_0,Clustered,29,VC_613_0,29,0.5109,1,0.5109,0,0,0,1
160,NZ_CP040088,Unassigned,Unassigned,Unassigned,613_0,Clustered,29,VC_613_0,29,0.5109,1,0.5109,0,0,0,1
161,NZ_CP040260,Unassigned,Unassigned,Unassigned,127_2,Clustered,22,VC_127_2,22,0.2335,1,0.2335,0,0,0,0.8095
162,NZ_CP040426,Unassigned,Unassigned,Unassigned,849_0,Clustered,8,VC_849_0,8,0.1177,1,0.1177,0,0,0,1
163,NZ_CP040427,Unassigned,Unassigned,Unassigned,581_0,Clustered,96,VC_581_0,96,0.6884,1,0.6884,0,0,0,1
164,NZ_CP041590,Unassigned,Unassigned,Unassigned,482_0,Clustered,83,VC_482_0,83,0.8375,1,0.8375,0,0,0,0.9665
165,NZ_CP041588,Unassigned,Unassigned,Unassigned,1421_0,Clustered,35,VC_1421_0,35,0.9996,0.9999442,0.9996,0,0,0,1
166,NZ_CP019115,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
167,NZ_CP042842,Unassigned,Unassigned,Unassigned,421_0,Clustered,54,VC_421_0,54,0.4149,1,0.4149,0,0,0,0.993
168,NZ_CP067103,Unassigned,Unassigned,Unassigned,581_0,Clustered,96,VC_581_0,96,0.6884,1,0.6884,0,0,0,1
169,NZ_CP043954,Unassigned,Unassigned,Unassigned,674_0,Clustered,2,VC_674_0,2,0.1327,0.95252713,0.1264,0,0,0,1
170,NZ_CP044358,Unassigned,Unassigned,Unassigned,503_0,Clustered,27,VC_503_0,27,0.3736,1,0.3736,0,0,0,1
171,NZ_CP042557,Unassigned,Unassigned,Unassigned,183_9,Clustered/Singleton,1,VC_183_9,1,0,1,0,0,0,0,1
172,NZ_CP042559,Unassigned,Unassigned,Unassigned,627_0,Clustered,6,VC_627_0,6,0.3015,0.99999999,0.3015,0,0,0,1
173,NZ_CP042560,Unassigned,Unassigned,Unassigned,503_0,Clustered,27,VC_503_0,27,0.3736,1,0.3736,0,0,0,1
174,NZ_CP042564,Unassigned,Unassigned,Unassigned,2227_0,Clustered,5,VC_2227_0,5,1,1,1,0,0,0,1
175,NZ_CP045109,Unassigned,Unassigned,Unassigned,613_0,Clustered,29,VC_613_0,29,0.5109,1,0.5109,0,0,0,1
176,NZ_CP045108,Unassigned,Unassigned,Unassigned,503_0,Clustered,27,VC_503_0,27,0.3736,1,0.3736,0,0,0,1
177,NZ_CP033245,Unassigned,Unassigned,Unassigned,421_0,Clustered,54,VC_421_0,54,0.4149,1,0.4149,0,0,0,0.993
178,NZ_CP033244,Unassigned,Unassigned,Unassigned,503_0,Clustered,27,VC_503_0,27,0.3736,1,0.3736,0,0,0,1
179,NZ_CP046537,Unassigned,Unassigned,Unassigned,482_0,Clustered,83,VC_482_0,83,0.8375,1,0.8375,0,0,0,0.9665
180,NZ_CP046655,Unassigned,Unassigned,Unassigned,613_0,Clustered,29,VC_613_0,29,0.5109,1,0.5109,0,0,0,1
181,NZ_CP050905,Unassigned,Unassigned,Unassigned,482_0,Clustered,83,VC_482_0,83,0.8375,1,0.8375,0,0,0,0.9665
182,NZ_CP050906,Unassigned,Unassigned,Unassigned,581_0,Clustered,96,VC_581_0,96,0.6884,1,0.6884,0,0,0,1
183,NZ_CP050908,Unassigned,Unassigned,Unassigned,482_0,Clustered,83,VC_482_0,83,0.8375,1,0.8375,0,0,0,0.9665
184,NZ_CP050909,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
185,NZ_CP050910,Unassigned,Unassigned,Unassigned,581_0,Clustered,96,VC_581_0,96,0.6884,1,0.6884,0,0,0,1
186,NZ_CP050912,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
187,NZ_CP050913,Unassigned,Unassigned,Unassigned,581_0,Clustered,96,VC_581_0,96,0.6884,1,0.6884,0,0,0,1
188,NZ_CP050915,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
189,NZ_CP050917,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
190,NZ_CP050918,Unassigned,Unassigned,Unassigned,581_0,Clustered,96,VC_581_0,96,0.6884,1,0.6884,0,0,0,1
191,NZ_CP051870,Unassigned,Unassigned,Unassigned,223_0,Clustered,11,VC_223_0,11,0.5298,1,0.5298,0,0,0,1
192,NZ_CP051872,Unassigned,Unassigned,Unassigned,1244_0,Clustered,38,VC_1244_0,38,0.9368,1,0.9368,0,0,0,1
193,NZ_CP051874,Unassigned,Unassigned,Unassigned,1980_0,Clustered,3,VC_1980_0,3,0.5373,0.97657291,0.5248,0,0,0,1
194,NZ_CP051876,Unassigned,Unassigned,Unassigned,223_0,Clustered,11,VC_223_0,11,0.5298,1,0.5298,0,0,0,1
