V1,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
26,NZ_CP041590,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
27,NZ_CP046537,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
28,NZ_CP050905,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
29,NZ_CP050908,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
30,NZ_CP050417,Unassigned,Unassigned,Unassigned,128_0,Clustered,5,VC_128_0,5,0.9012,0.9999969,0.9012,0,0,0,1
31,NZ_CP059387,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
32,NZ_AP022239,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
33,NZ_CP047974,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
34,NZ_CP061518,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
35,NZ_CP061515,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
36,NZ_CP061524,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
37,NZ_CP061522,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
38,NZ_CP061520,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
39,NZ_CP062920,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
40,NZ_CP072306,Unassigned,Unassigned,Unassigned,152_0,Clustered,4,VC_152_0,4,0.9845,0.99455397,0.9791,0,0,0,1
41,NZ_CP072527,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
42,NZ_CP059475,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
43,NZ_CP031384,Unassigned,Unassigned,Unassigned,34_0,Clustered,8,VC_34_0,8,0.2498,1,0.2498,0,0,0,1
44,NZ_CP087310,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
45,NZ_CP087333,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
46,NZ_CP087336,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
47,NZ_CP104337,Unassigned,Unassigned,Unassigned,128_0,Clustered,5,VC_128_0,5,0.9012,0.9999969,0.9012,0,0,0,1
48,NZ_CP104341,Unassigned,Unassigned,Unassigned,128_0,Clustered,5,VC_128_0,5,0.9012,0.9999969,0.9012,0,0,0,1
49,NZ_CP104346,Unassigned,Unassigned,Unassigned,128_0,Clustered,5,VC_128_0,5,0.9012,0.9999969,0.9012,0,0,0,1
50,NZ_CP104349,Unassigned,Unassigned,Unassigned,128_0,Clustered,5,VC_128_0,5,0.9012,0.9999969,0.9012,0,0,0,1
51,NZ_CP107594,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
52,NZ_CP107600,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
53,NZ_CP107617,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
54,NZ_CP110466,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
55,NZ_CP104298,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
56,NC_020524,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
57,NC_023031,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
58,NZ_CP029389,Unassigned,Unassigned,Unassigned,149_0,Clustered,2,VC_149_0,2,0.7837,0.90478487,0.7091,0,0,0,1
59,NZ_CP044020,Unassigned,Unassigned,Unassigned,150_0,Clustered,5,VC_150_0,5,0.9527,0.99865287,0.9514,0,0,0,1
60,NZ_CP045196,Unassigned,Unassigned,Unassigned,150_0,Clustered,5,VC_150_0,5,0.9527,0.99865287,0.9514,0,0,0,1
61,NZ_CP070868,Unassigned,Unassigned,Unassigned,177_0,Clustered,2,VC_177_0,2,1,1,1,0,0,0,1
62,NZ_CP070869,Unassigned,Unassigned,Unassigned,177_0,Clustered,2,VC_177_0,2,1,1,1,0,0,0,1
63,NZ_CP021514,Unassigned,Unassigned,Unassigned,153_0,Clustered,2,VC_153_0,2,0.5711,0.81445332,0.4651,0,0,0,1
64,NZ_CP049807,Unassigned,Unassigned,Unassigned,150_0,Clustered,5,VC_150_0,5,0.9527,0.99865287,0.9514,0,0,0,1
65,NZ_CP061617,Unassigned,Unassigned,Unassigned,111_0,Clustered,2,VC_111_0,2,0.0976,0.92762566,0.0905,0,0,0,1
66,NZ_CP032280,Unassigned,Unassigned,Unassigned,149_0,Clustered,2,VC_149_0,2,0.7837,0.90478487,0.7091,0,0,0,1
67,NZ_CP033864,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
68,NZ_CP048673,Unassigned,Unassigned,Unassigned,150_0,Clustered,5,VC_150_0,5,0.9527,0.99865287,0.9514,0,0,0,1
69,NZ_CP092455,Unassigned,Unassigned,Unassigned,150_0,Clustered,5,VC_150_0,5,0.9527,0.99865287,0.9514,0,0,0,1
70,NZ_AP024137,Unassigned,Unassigned,Unassigned,37_0,Clustered,5,VC_37_0,5,0.3882,0.99999996,0.3882,0,0,0,1
71,NZ_CP066814,Unassigned,Unassigned,Unassigned,37_0,Clustered,5,VC_37_0,5,0.3882,0.99999996,0.3882,0,0,0,1
72,NZ_CP068233,Unassigned,Unassigned,Unassigned,37_0,Clustered,5,VC_37_0,5,0.3882,0.99999996,0.3882,0,0,0,1
73,NZ_AP024403,Unassigned,Unassigned,Unassigned,37_0,Clustered,5,VC_37_0,5,0.3882,0.99999996,0.3882,0,0,0,1
74,NZ_AP023399,Unassigned,Unassigned,Unassigned,37_0,Clustered,5,VC_37_0,5,0.3882,0.99999996,0.3882,0,0,0,1
75,NZ_AP022265,Unassigned,Unassigned,Unassigned,64_0,Clustered,6,VC_64_0,6,0.5672,1,0.5672,0,0,0,1
76,NZ_CP109971,Unassigned,Unassigned,Unassigned,72_0,Clustered,3,VC_72_0,3,0.3893,0.99739246,0.3883,0,0,0,1
77,NC_018680,Unassigned,Unassigned,Unassigned,109_0,Clustered,7,VC_109_0,7,0.9509,1,0.9509,0,0,0,1
78,NZ_CP045481,Unassigned,Unassigned,Unassigned,178_0,Clustered,2,VC_178_0,2,1,1,1,0,0,0,1
79,NZ_CP015439,Unassigned,Unassigned,Unassigned,126_1,Clustered/Singleton,1,VC_126_1,1,0,1,0,0,0,0,1
80,NZ_CP064061,Unassigned,Unassigned,Unassigned,50_0,Clustered,2,VC_50_0,2,0.0211,0.95553645,0.0201,0,0,0,1
81,NZ_CP093364,Unassigned,Unassigned,Unassigned,126_0,Clustered,2,VC_126_0,2,0.3618,0.93865445,0.3396,0,0,0,1
82,NZ_CP029540,Unassigned,Unassigned,Unassigned,166_0,Clustered,3,VC_166_0,3,1,1,1,0,0,0,1
83,NZ_CP084225,Unassigned,Unassigned,Unassigned,87_0,Clustered,2,VC_87_0,2,0.3372,0.94341554,0.3182,0,0,0,1
84,NZ_CP123758,Unassigned,Unassigned,Unassigned,87_0,Clustered,2,VC_87_0,2,0.3372,0.94341554,0.3182,0,0,0,1
85,NZ_CP038616,Unassigned,Unassigned,Unassigned,55_0,Clustered,14,VC_55_0,14,0.7773,1,0.7773,0,0,0,1
86,NZ_CP038615,Unassigned,Unassigned,Unassigned,55_0,Clustered,14,VC_55_0,14,0.7773,1,0.7773,0,0,0,1
87,NZ_CP038623,Unassigned,Unassigned,Unassigned,55_0,Clustered,14,VC_55_0,14,0.7773,1,0.7773,0,0,0,1
88,NZ_CP038625,Unassigned,Unassigned,Unassigned,29_1,Clustered,19,VC_29_1,19,0.4392,1,0.4392,0,0,0,0.9532
89,NZ_CP038626,Unassigned,Unassigned,Unassigned,81_0,Clustered,4,VC_81_0,4,0.6145,0.99997062,0.6145,0,0,0,1
90,NZ_CP038627,Unassigned,Unassigned,Unassigned,157_0,Clustered,4,VC_157_0,4,1,1,1,0,0,0,1
91,NZ_CP123510,Unassigned,Unassigned,Unassigned,55_0,Clustered,14,VC_55_0,14,0.7773,1,0.7773,0,0,0,1
92,NZ_CP123511,Unassigned,Unassigned,Unassigned,55_0,Clustered,14,VC_55_0,14,0.7773,1,0.7773,0,0,0,1
93,NZ_CP123512,Unassigned,Unassigned,Unassigned,55_0,Clustered,14,VC_55_0,14,0.7773,1,0.7773,0,0,0,1
94,NZ_CP123514,Unassigned,Unassigned,Unassigned,29_1,Clustered,19,VC_29_1,19,0.4392,1,0.4392,0,0,0,0.9532
95,NZ_CP123515,Unassigned,Unassigned,Unassigned,81_0,Clustered,4,VC_81_0,4,0.6145,0.99997062,0.6145,0,0,0,1
96,NZ_CP123527,Unassigned,Unassigned,Unassigned,55_0,Clustered,14,VC_55_0,14,0.7773,1,0.7773,0,0,0,1
97,NZ_CP123533,Unassigned,Unassigned,Unassigned,55_0,Clustered,14,VC_55_0,14,0.7773,1,0.7773,0,0,0,1
98,NZ_CP123534,Unassigned,Unassigned,Unassigned,55_0,Clustered,14,VC_55_0,14,0.7773,1,0.7773,0,0,0,1
99,NZ_CP123536,Unassigned,Unassigned,Unassigned,79_0,Clustered,2,VC_79_0,2,0.3552,0.94530405,0.3357,0,0,0,1
100,NZ_CP123538,Unassigned,Unassigned,Unassigned,81_0,Clustered,4,VC_81_0,4,0.6145,0.99997062,0.6145,0,0,0,1
101,NZ_CP123539,Unassigned,Unassigned,Unassigned,157_0,Clustered,4,VC_157_0,4,1,1,1,0,0,0,1
102,NZ_CP123551,Unassigned,Unassigned,Unassigned,55_0,Clustered,14,VC_55_0,14,0.7773,1,0.7773,0,0,0,1
103,NZ_CP123552,Unassigned,Unassigned,Unassigned,55_0,Clustered,14,VC_55_0,14,0.7773,1,0.7773,0,0,0,1
104,NZ_CP123553,Unassigned,Unassigned,Unassigned,79_0,Clustered,2,VC_79_0,2,0.3552,0.94530405,0.3357,0,0,0,1
105,NZ_CP123555,Unassigned,Unassigned,Unassigned,29_1,Clustered,19,VC_29_1,19,0.4392,1,0.4392,0,0,0,0.9532
106,NZ_CP123568,Unassigned,Unassigned,Unassigned,55_0,Clustered,14,VC_55_0,14,0.7773,1,0.7773,0,0,0,1
107,NZ_CP123569,Unassigned,Unassigned,Unassigned,55_0,Clustered,14,VC_55_0,14,0.7773,1,0.7773,0,0,0,1
108,NZ_CP123570,Unassigned,Unassigned,Unassigned,55_0,Clustered,14,VC_55_0,14,0.7773,1,0.7773,0,0,0,1
109,NZ_CP123572,Unassigned,Unassigned,Unassigned,29_1,Clustered,19,VC_29_1,19,0.4392,1,0.4392,0,0,0,0.9532
110,NZ_CP123574,Unassigned,Unassigned,Unassigned,81_0,Clustered,4,VC_81_0,4,0.6145,0.99997062,0.6145,0,0,0,1
111,NZ_CP032328,Unassigned,Unassigned,Unassigned,167_0,Clustered/Singleton,1,VC_167_0,1,0,1,0,0,0,0,1
112,NZ_CP039641,Unassigned,Unassigned,Unassigned,119_0,Clustered,2,VC_119_0,2,0.7879,0.72985431,0.575,0,0,0,1
113,NZ_CP029360,Unassigned,Unassigned,Unassigned,119_0,Clustered,2,VC_119_0,2,0.7879,0.72985431,0.575,0,0,0,1
114,NZ_CP101507,Unassigned,Unassigned,Unassigned,144_0,Clustered,2,VC_144_0,2,0.2244,0.92263554,0.207,0,0,0,1
115,NZ_CP040346,Unassigned,Unassigned,Unassigned,26_2,Clustered/Singleton,1,VC_26_2,1,0,1,0,0,0,0,1
116,NZ_CP030098,Unassigned,Unassigned,Unassigned,103_0,Clustered,2,VC_103_0,2,0.2481,0.94893977,0.2354,0,0,0,1
117,NZ_CP076118,Unassigned,Unassigned,Unassigned,65_2,Clustered/Singleton,1,VC_65_2,1,0,1,0,0,0,0,1
118,NZ_CP085404,Unassigned,Unassigned,Unassigned,26_7,Clustered,2,VC_26_7,2,0.0266,0.95593262,0.0255,0,0,0,1
119,NZ_CP085405,Unassigned,Unassigned,Unassigned,46_0,Clustered,5,VC_46_0,5,0.5955,0.99999995,0.5955,0,0,0,1
120,NZ_CP009939,Unassigned,Unassigned,Unassigned,26_8,Clustered,5,VC_26_8,5,0.1348,0.99999982,0.1348,0,0,0,0.7
121,NZ_CP009594,Unassigned,Unassigned,Unassigned,26_1,Clustered,6,VC_26_1,6,0.1813,1,0.1813,0,0,0,0.7333
122,NZ_CP009603,Unassigned,Unassigned,Unassigned,26_1,Clustered,6,VC_26_1,6,0.1813,1,0.1813,0,0,0,0.7333
123,NZ_CP053966,Unassigned,Unassigned,Unassigned,26_11,Clustered,10,VC_26_11,10,0.3081,1,0.3081,0,0,0,1
124,NZ_CP053964,Unassigned,Unassigned,Unassigned,28_0,Clustered,5,VC_28_0,5,0.1549,0.99999996,0.1549,0,0,0,1
125,NZ_CP053990,Unassigned,Unassigned,Unassigned,26_1,Clustered,6,VC_26_1,6,0.1813,1,0.1813,0,0,0,0.7333
126,NZ_CP053996,Unassigned,Unassigned,Unassigned,26_1,Clustered,6,VC_26_1,6,0.1813,1,0.1813,0,0,0,0.7333
127,NZ_CP068721,Unassigned,Unassigned,Unassigned,36_0,Clustered,3,VC_36_0,3,0.121,0.99819262,0.1208,0,0,0,1
128,NZ_CP072772,Unassigned,Unassigned,Unassigned,26_7,Clustered,2,VC_26_7,2,0.0266,0.95593262,0.0255,0,0,0,1
129,NZ_CP072773,Unassigned,Unassigned,Unassigned,179_0,Clustered,2,VC_179_0,2,1,1,1,0,0,0,1
130,NZ_AP022958,Unassigned,Unassigned,Unassigned,26_9,Clustered,3,VC_26_9,3,0.1282,0.99849976,0.128,0,0,0,1
131,NZ_AP022995,Unassigned,Unassigned,Unassigned,26_9,Clustered,3,VC_26_9,3,0.1282,0.99849976,0.128,0,0,0,1
132,NZ_AP023002,Unassigned,Unassigned,Unassigned,26_9,Clustered,3,VC_26_9,3,0.1282,0.99849976,0.128,0,0,0,1
133,NZ_CP095380,Unassigned,Unassigned,Unassigned,26_1,Clustered,6,VC_26_1,6,0.1813,1,0.1813,0,0,0,0.7333
134,NZ_CP113430,Unassigned,Unassigned,Unassigned,39_0,Clustered,13,VC_39_0,13,0.6132,1,0.6132,0,0,0,1
135,NC_004721,Unassigned,Unassigned,Unassigned,89_0,Clustered,19,VC_89_0,19,0.8573,1,0.8573,0,0,0,1
136,NZ_CP034552,Unassigned,Unassigned,Unassigned,89_0,Clustered,19,VC_89_0,19,0.8573,1,0.8573,0,0,0,1
137,NZ_CP009589,Unassigned,Unassigned,Unassigned,26_8,Clustered,5,VC_26_8,5,0.1348,0.99999982,0.1348,0,0,0,0.7
138,NC_016772,Unassigned,Unassigned,Unassigned,26_4,Clustered,3,VC_26_4,3,0.0739,0.99845449,0.0738,0,0,0,1
139,NC_016794,Unassigned,Unassigned,Unassigned,26_11,Clustered,10,VC_26_11,10,0.3081,1,0.3081,0,0,0,1
140,NC_011971,Unassigned,Unassigned,Unassigned,39_0,Clustered,13,VC_39_0,13,0.6132,1,0.6132,0,0,0,1
141,NC_011774,Unassigned,Unassigned,Unassigned,104_2,Clustered/Singleton,1,VC_104_2,1,0,1,0,0,0,0,1
142,NZ_CP009638,Unassigned,Unassigned,Unassigned,26_11,Clustered,10,VC_26_11,10,0.3081,1,0.3081,0,0,0,1
143,NZ_CP009637,Unassigned,Unassigned,Unassigned,28_0,Clustered,5,VC_28_0,5,0.1549,0.99999996,0.1549,0,0,0,1
144,NZ_CP066183,Unassigned,Unassigned,Unassigned,39_0,Clustered,13,VC_39_0,13,0.6132,1,0.6132,0,0,0,1
145,NZ_CP066182,Unassigned,Unassigned,Unassigned,36_0,Clustered,3,VC_36_0,3,0.121,0.99819262,0.1208,0,0,0,1
146,NZ_CP066191,Unassigned,Unassigned,Unassigned,89_0,Clustered,19,VC_89_0,19,0.8573,1,0.8573,0,0,0,1
147,NZ_CP014843,Unassigned,Unassigned,Unassigned,104_0,Clustered,3,VC_104_0,3,0.2941,0.99790134,0.2935,0,0,0,1
148,NZ_CP021670,Unassigned,Unassigned,Unassigned,104_0,Clustered,3,VC_104_0,3,0.2941,0.99790134,0.2935,0,0,0,1
149,NZ_CP021679,Unassigned,Unassigned,Unassigned,139_0,Clustered,2,VC_139_0,2,0.1583,0.80863346,0.128,0,0,0,1
150,NZ_CP027791,Unassigned,Unassigned,Unassigned,66_0,Clustered,2,VC_66_0,2,0.2957,0.95378374,0.282,0,0,0,1
151,NZ_CP035189,Unassigned,Unassigned,Unassigned,104_0,Clustered,3,VC_104_0,3,0.2941,0.99790134,0.2935,0,0,0,1
152,NZ_CP065645,Unassigned,Unassigned,Unassigned,66_0,Clustered,2,VC_66_0,2,0.2957,0.95378374,0.282,0,0,0,1
153,NZ_CP020749,Unassigned,Unassigned,Unassigned,39_0,Clustered,13,VC_39_0,13,0.6132,1,0.6132,0,0,0,1
154,NZ_CP020750,Unassigned,Unassigned,Unassigned,26_8,Clustered,5,VC_26_8,5,0.1348,0.99999982,0.1348,0,0,0,0.7
155,NZ_CP031073,Unassigned,Unassigned,Unassigned,26_5,Clustered/Singleton,1,VC_26_5,1,0,1,0,0,0,0,1
156,NZ_CP031074,Unassigned,Unassigned,Unassigned,48_0,Clustered,6,VC_48_0,6,0.4148,1,0.4148,0,0,0,1
157,NZ_CP036000,Unassigned,Unassigned,Unassigned,26_8,Clustered,5,VC_26_8,5,0.1348,0.99999982,0.1348,0,0,0,0.7
158,NZ_CP036003,Unassigned,Unassigned,Unassigned,39_0,Clustered,13,VC_39_0,13,0.6132,1,0.6132,0,0,0,1
159,NZ_CP036024,Unassigned,Unassigned,Unassigned,26_1,Clustered,6,VC_26_1,6,0.1813,1,0.1813,0,0,0,0.7333
160,NZ_CP036039,Unassigned,Unassigned,Unassigned,179_0,Clustered,2,VC_179_0,2,1,1,1,0,0,0,1
161,NZ_CP036134,Unassigned,Unassigned,Unassigned,26_6,Clustered/Singleton,1,VC_26_6,1,0,1,0,0,0,0,1
162,NC_010182,Unassigned,Unassigned,Unassigned,58_0,Clustered,3,VC_58_0,3,0.496,0.99542416,0.49370000000000003,0,0,0,1
163,NZ_CP119631,Unassigned,Unassigned,Unassigned,28_0,Clustered,5,VC_28_0,5,0.1549,0.99999996,0.1549,0,0,0,1
164,NZ_CP010015,Unassigned,Unassigned,Unassigned,77_0,Clustered,19,VC_77_0,19,0.988,1,0.988,0,0,0,1
165,NZ_CP030938,Unassigned,Unassigned,Unassigned,77_0,Clustered,19,VC_77_0,19,0.988,1,0.988,0,0,0,1
166,NZ_CP034684,Unassigned,Unassigned,Unassigned,26_3,Clustered/Singleton,1,VC_26_3,1,0,1,0,0,0,0,1
167,NZ_CP033790,Unassigned,Unassigned,Unassigned,26_4,Clustered,3,VC_26_4,3,0.0739,0.99845449,0.0738,0,0,0,1
168,NZ_CP041758,Unassigned,Unassigned,Unassigned,77_0,Clustered,19,VC_77_0,19,0.988,1,0.988,0,0,0,1
169,NZ_CP070484,Unassigned,Unassigned,Unassigned,77_0,Clustered,19,VC_77_0,19,0.988,1,0.988,0,0,0,1
170,NZ_CP079760,Unassigned,Unassigned,Unassigned,77_0,Clustered,19,VC_77_0,19,0.988,1,0.988,0,0,0,1
171,NZ_CP020103,Unassigned,Unassigned,Unassigned,77_0,Clustered,19,VC_77_0,19,0.988,1,0.988,0,0,0,1
172,NZ_CP035392,Unassigned,Unassigned,Unassigned,139_0,Clustered,2,VC_139_0,2,0.1583,0.80863346,0.128,0,0,0,1
173,NZ_CP035398,Unassigned,Unassigned,Unassigned,77_0,Clustered,19,VC_77_0,19,0.988,1,0.988,0,0,0,1
174,NZ_CP035407,Unassigned,Unassigned,Unassigned,70_0,Clustered/Singleton,1,VC_70_0,1,0,1,0,0,0,0,1
175,NZ_CP035412,Unassigned,Unassigned,Unassigned,77_0,Clustered,19,VC_77_0,19,0.988,1,0.988,0,0,0,1
176,NZ_CP045822,Unassigned,Unassigned,Unassigned,77_0,Clustered,19,VC_77_0,19,0.988,1,0.988,0,0,0,1
177,NZ_CP045813,Unassigned,Unassigned,Unassigned,77_0,Clustered,19,VC_77_0,19,0.988,1,0.988,0,0,0,1
178,NZ_CP045923,Unassigned,Unassigned,Unassigned,77_0,Clustered,19,VC_77_0,19,0.988,1,0.988,0,0,0,1
179,NZ_CP028216,Unassigned,Unassigned,Unassigned,77_0,Clustered,19,VC_77_0,19,0.988,1,0.988,0,0,0,1
180,NZ_CP064819,Unassigned,Unassigned,Unassigned,70_1,Clustered/Singleton,1,VC_70_1,1,0,1,0,0,0,0,1
181,NZ_CP082925,Unassigned,Unassigned,Unassigned,77_0,Clustered,19,VC_77_0,19,0.988,1,0.988,0,0,0,1
182,NZ_CP106674,Unassigned,Unassigned,Unassigned,77_0,Clustered,19,VC_77_0,19,0.988,1,0.988,0,0,0,1
183,NZ_CP106672,Unassigned,Unassigned,Unassigned,77_0,Clustered,19,VC_77_0,19,0.988,1,0.988,0,0,0,1
184,NZ_CP094362,Unassigned,Unassigned,Unassigned,77_0,Clustered,19,VC_77_0,19,0.988,1,0.988,0,0,0,1
185,NZ_CP120680,Unassigned,Unassigned,Unassigned,77_0,Clustered,19,VC_77_0,19,0.988,1,0.988,0,0,0,1
186,NZ_AP019715,Unassigned,Unassigned,Unassigned,77_0,Clustered,19,VC_77_0,19,0.988,1,0.988,0,0,0,1
187,NZ_CP034485,Unassigned,Unassigned,Unassigned,77_0,Clustered,19,VC_77_0,19,0.988,1,0.988,0,0,0,1
188,NZ_CP009332,Unassigned,Unassigned,Unassigned,26_10,Clustered,2,VC_26_10,2,0.0611,0.95581087,0.0584,0,0,0,1
189,NZ_CP009599,Unassigned,Unassigned,Unassigned,26_11,Clustered,10,VC_26_11,10,0.3081,1,0.3081,0,0,0,1
190,NZ_CP009718,Unassigned,Unassigned,Unassigned,26_11,Clustered,10,VC_26_11,10,0.3081,1,0.3081,0,0,0,1
191,NZ_CP011352,Unassigned,Unassigned,Unassigned,31_0,Clustered,13,VC_31_0,13,0.5733,1,0.5733,0,0,0,1
192,NZ_CP012104,Unassigned,Unassigned,Unassigned,28_0,Clustered,5,VC_28_0,5,0.1549,0.99999996,0.1549,0,0,0,1
193,NZ_CP012105,Unassigned,Unassigned,Unassigned,158_0,Clustered,4,VC_158_0,4,1,1,1,0,0,0,1
194,NZ_CP013060,Unassigned,Unassigned,Unassigned,31_0,Clustered,13,VC_31_0,13,0.5733,1,0.5733,0,0,0,1
195,NZ_CP014285,Unassigned,Unassigned,Unassigned,26_0,Clustered,2,VC_26_0,2,0.0884,0.95603239,0.0845,0,0,0,1
196,NZ_CP014286,Unassigned,Unassigned,Unassigned,39_0,Clustered,13,VC_39_0,13,0.6132,1,0.6132,0,0,0,1
197,NZ_CP014287,Unassigned,Unassigned,Unassigned,48_0,Clustered,6,VC_48_0,6,0.4148,1,0.4148,0,0,0,1
