Genome ID	P-P type	MinGenes cutoff	MinGenes hits	Signature to all genes ratio	P-P score sum	P-P type score sum	Composition	Composition size	Tolerance to gaps	Composition hits	Genome size (bp)	Number of proteins
NZ_CP019920	cp32	18	23	0.676	21.7	18.5	cp32_Composition_66	28	6	22	25789	34
NZ_CP019758	cp32	18	32	0.762	30.6	26.4	cp32_Composition_1	32	6	32	30222	42
NC_000949	cp32	18	32	0.744	30.6	26.4	cp32_Composition_1	32	6	32	30223	43
NC_017425	cp32	18	30	0.714	28.7	24.8	cp32_Composition_1	32	6	32	30804	42
NZ_CP015801	cp32	18	29	0.707	27.8	24.1	cp32_Composition_1	32	6	31	30406	41
NZ_CP015785	cp32	18	29	0.707	27.8	24.1	cp32_Composition_1	32	6	31	30406	41
NZ_CP017204	cp32	18	29	0.725	27.7	24	cp32_Composition_1	32	6	31	30192	40
NC_017396	cp32	18	30	0.732	28.7	24.8	cp32_Composition_1	32	6	32	30019	41
NC_015908	cp32	18	29	0.707	27.7	24	cp32_Composition_1	32	6	31	30547	41
NC_015909	cp32	18	29	0.725	27.7	24	cp32_Composition_1	32	6	32	29936	40
NZ_CP019846	cp32	18	26	0.743	24.7	21.1	cp32_Composition_1	32	6	27	30726	35
NZ_CP019849	cp32	18	28	0.737	26.7	22.9	cp32_Composition_1	32	6	30	30674	38
NZ_CP019918	cp32	18	32	0.438	30.6	26.4	cp32_Composition_1	32	6	32	56632	73
NZ_CP019756	cp32	18	32	0.395	30.6	26.4	cp32_Composition_1	32	6	32	61418	81
NC_000953	cp32	18	32	0.762	30.6	26.4	cp32_Composition_1	32	6	32	30885	42
NC_011736	cp32	18	30	0.732	28.7	24.8	cp32_Composition_1	32	6	32	30964	41
NC_011722	cp32	18	28	0.778	26.7	23	cp32_Composition_1	32	6	28	30467	36
NC_000952	cp32	18	30	0.714	28.7	24.8	cp32_Composition_1	32	6	32	30800	42
NZ_CP017206	cp32	18	32	0.762	30.6	26.4	cp32_Composition_1	32	6	32	30617	42
NZ_CP031406	cp32	18	25	0.714	23.7	20.5	cp32_Composition_1	32	6	26	30606	35
NC_017394	cp32	18	31	0.437	29.7	25.6	cp32_Composition_1	32	6	31	60739	71
NC_017424	cp32	18	29	0.725	27.7	24	cp32_Composition_1	32	6	31	30154	40
NZ_CP031405	cp32	18	14	0.583	12.9	10.9	NA	NA	NA	NA	19997	24
NC_015905	cp32	18	26	0.722	24.9	21.6	cp32_Composition_1	32	6	29	30092	36
NZ_CP017209	cp32	18	28	0.718	26.7	23.2	cp32_Composition_1	32	6	30	30054	39
NC_011720	cp32	18	16	0.254	15	12.7	cp32_Composition_1	32	6	32	48168	63
NZ_CP017205	cp32	18	32	0.78	30.6	26.4	cp32_Composition_1	32	6	32	30176	41
NC_017400	cp32	18	8	0.471	7.2	6.1	NA	NA	NA	NA	15915	17
NC_017428	cp32	18	29	0.725	27.7	24	cp32_Composition_1	32	6	30	30314	40
NC_015906	cp32	18	17	0.293	15.8	13.5	NA	NA	NA	NA	66242	58
NC_017427	cp32	18	30	0.732	28.7	24.8	cp32_Composition_1	32	6	32	29707	41
NC_015910	cp32	18	28	0.683	26.9	23.3	cp32_Composition_1	32	6	30	30767	41
NZ_CP017203	cp32	18	32	0.78	30.6	26.4	cp32_Composition_1	32	6	32	29892	41
NZ_CP019850	cp32	18	26	0.765	24.8	21.3	cp32_Composition_1	32	6	27	30580	34
NZ_CP019921	cp32	18	31	0.413	29.6	25.5	cp32_Composition_1	32	6	31	62238	75
NZ_CP019760	cp32	18	26	0.743	24.8	21.3	cp32_Composition_1	32	6	27	30651	35
NC_000954	cp32	18	26	0.743	24.8	21.3	cp32_Composition_1	32	6	27	30651	35
NC_000948	cp32	18	32	0.762	30.6	26.4	cp32_Composition_1	32	6	32	30750	42
NC_017393	cp32	18	29	0.725	27.8	24	cp32_Composition_1	32	6	31	29902	40
NZ_CP017208	cp32	18	29	0.763	27.8	24	cp32_Composition_1	32	6	29	30017	38
NZ_CP019919	cp32	18	30	0.75	28.8	24.8	cp32_Composition_1	32	6	30	31245	40
NZ_CP019757	cp32	18	30	0.75	28.8	24.8	cp32_Composition_1	32	6	30	31245	40
NC_017426	cp32	18	30	0.714	28.7	24.8	cp32_Composition_1	32	6	32	31085	42
NZ_CP019848	cp32	18	31	0.775	29.7	25.5	cp32_Composition_1	32	6	31	30299	40
NZ_CP019759	cp32	18	30	0.769	28.7	24.7	cp32_Composition_1	32	6	30	30300	39
NC_000950	cp32	18	31	0.775	29.7	25.5	cp32_Composition_1	32	6	31	30299	40
NC_011735	cp32	18	32	0.78	30.6	26.4	cp32_Composition_1	32	6	32	29806	41
NZ_CP015798	cp32	18	29	0.763	27.7	24	cp32_Composition_1	32	6	31	30433	38
NZ_CP015782	cp32	18	29	0.763	27.7	24	cp32_Composition_1	32	6	31	30433	38
NZ_CP015799	cp32	18	25	0.758	23.7	20.5	cp32_Composition_1	32	6	28	27866	33
NZ_CP015783	cp32	18	25	0.758	23.7	20.5	cp32_Composition_1	32	6	28	27866	33
NC_015904	cp32	18	31	0.738	29.7	25.6	cp32_Composition_1	32	6	32	30529	42
NZ_CP031411	cp32	18	16	0.667	14.9	12.7	NA	NA	NA	NA	21898	24
NZ_CP019855	cp32	18	29	0.592	27.7	23.7	cp32_Composition_1	32	6	30	52971	49
NZ_CP019926	cp32	18	29	0.592	27.7	23.7	cp32_Composition_1	32	6	30	52971	49
NZ_CP019766	cp32	18	29	0.58	27.7	23.7	cp32_Composition_1	32	6	30	52951	50
NC_000956	cp32	18	29	0.58	27.7	23.7	cp32_Composition_1	32	6	30	52971	50
NC_017231	cp32	18	19	0.613	18.1	15.4	cp32_Composition_19	27	6	21	25262	31
NC_017225	cp32	18	28	0.683	27.1	23.4	cp32_Composition_1	32	6	31	30065	41
NC_017227	cp32	18	27	0.643	26	22.6	cp32_Composition_1	32	6	32	30949	42
NC_017228	cp32	18	22	0.611	21.3	18.6	cp32_Composition_1	32	6	26	29421	36
NC_017224	cp32	18	26	0.65	25.2	21.7	cp32_Composition_1	32	6	30	30718	40
NZ_CP009070	cp32	18	29	0.69	28	24.2	cp32_Composition_1	32	6	32	30797	42
NC_017230	cp32	18	29	0.707	28	24.2	cp32_Composition_1	32	6	32	30000	41
NZ_CP009071	cp32	18	28	0.667	27.1	23.4	cp32_Composition_1	32	6	32	30397	42
NZ_CP009069	cp32	18	27	0.675	26	22.6	cp32_Composition_1	32	6	32	30468	40
NC_017226	cp32	18	29	0.69	28	24.2	cp32_Composition_1	32	6	32	31118	42
NZ_CP009068	cp32	18	27	0.643	26	22.6	cp32_Composition_1	32	6	32	31266	42
NZ_CP028880	cp32	18	21	0.618	20.3	17.6	cp32_Composition_1	32	6	26	28588	34
NC_017423	cp32	18	26	0.684	24.9	21.6	cp32_Composition_1	32	6	32	27767	38
NZ_CP028864	cp32	18	25	0.641	24.1	20.8	cp32_Composition_1	32	6	30	29563	39
NC_017402	cp32	18	24	0.686	22.7	19.7	cp32_Composition_1	32	6	27	30658	35
NZ_CP031408	cp32	18	25	0.758	23.8	20.6	cp32_Composition_1	32	6	26	30883	33
NZ_CP017207	cp32	18	7	0.412	6.2	5.3	NA	NA	NA	NA	18340	17
NZ_CP015800	cp32	18	23	0.742	22	18.9	cp32_Composition_65	24	6	24	30330	31
NZ_CP015784	cp32	18	23	0.742	22	18.9	cp32_Composition_65	24	6	24	30297	31
NZ_CP031407	cp32	18	9	0.562	8	6.8	NA	NA	NA	NA	14018	16
NZ_CP015802	cp32	18	6	0.429	5.3	4.5	NA	NA	NA	NA	17017	14
NZ_CP015786	cp32	18	6	0.429	5.3	4.5	NA	NA	NA	NA	17017	14
NC_015903	cp32	18	29	0.784	27.7	24	cp32_Composition_1	32	6	31	30294	37
NC_017398	cp32	18	24	0.686	22.9	19.8	cp32_Composition_1	32	6	26	29615	35
NZ_CP028868	cp32	18	23	0.639	22	19.2	cp32_Composition_1	32	6	28	30422	36
NZ_CP028874	cp32	18	14	0.304	13.3	11.5	cp32_Composition_32	30	6	24	54911	46
NZ_CP018747	cp32	18	23	0.622	22.2	19.1	cp32_Composition_1	32	6	28	27673	37
NZ_CP018748	cp32	18	22	0.647	21.1	18.3	cp32_Composition_1	32	6	26	27114	34
NZ_CP031410	cp32	18	8	0.571	7.1	6.1	NA	NA	NA	NA	13328	14
NC_017422	cp32	18	11	0.55	10	8.5	NA	NA	NA	NA	17483	20
NZ_CP044542	cp32	18	1	0.1	0.8	0.7	NA	NA	NA	NA	16877	10
NZ_CP018752	cp32	18	1	0.143	0.8	0.7	NA	NA	NA	NA	20750	7
NZ_CP028871	cp32	18	1	0.077	0.8	0.7	NA	NA	NA	NA	25672	13
NZ_CP028875	cp32	18	3	0.094	2.6	2.3	NA	NA	NA	NA	50866	32
NC_017240	cp32	18	1	0.038	0.8	0.7	NA	NA	NA	NA	30180	26
NZ_CP027046	N15	7	39	0.696	38.8	38.7	N15_Composition_19	43	9	42	55018	56
NZ_CP018314	N15	7	42	0.667	41.8	41.7	N15_Composition_19	43	9	43	68601	63
NZ_CP018688	N15	7	42	0.667	41.8	41.7	N15_Composition_19	43	9	43	75838	63
NZ_CP018703	N15	7	42	0.792	41.8	41.7	N15_Composition_19	43	9	43	66149	53
NZ_CP018709	N15	7	42	0.592	41.8	41.7	N15_Composition_19	43	9	43	73019	71
NZ_CP018715	N15	7	41	0.707	40.8	40.7	N15_Composition_19	43	9	42	80892	58
NZ_CP018721	N15	7	42	0.656	41.8	41.7	N15_Composition_19	43	9	43	73597	64
NZ_CP018697	N15	7	42	0.656	41.8	41.7	N15_Composition_19	43	9	43	79806	64
NZ_CP017988	N15	7	42	0.724	41.8	41.7	N15_Composition_19	43	9	43	73221	58
NZ_CP032224	N15	7	39	0.582	38.8	38.7	N15_Composition_19	43	9	42	73056	67
NZ_AP023151	N15	7	38	0.679	37.8	37.7	N15_Composition_19	43	9	41	54548	56
NZ_CP031794	N15	7	38	0.792	37.8	37.7	N15_Composition_19	43	9	39	53774	48
NZ_CP031806	N15	7	41	0.745	40.8	40.7	N15_Composition_19	43	9	42	53943	55
NZ_CP061057	N15	7	41	0.683	40.8	40.7	N15_Composition_19	43	9	42	57450	60
NZ_CP061066	N15	7	41	0.683	40.8	40.7	N15_Composition_19	43	9	42	57450	60
NZ_LR890260	N15	7	40	0.741	39.8	39.7	N15_Composition_19	43	9	41	53948	54
NZ_LR890432	N15	7	41	0.745	40.8	40.7	N15_Composition_19	43	9	42	53938	55
NZ_LR890506	N15	7	41	0.745	40.8	40.7	N15_Composition_19	43	9	42	53943	55
NZ_LR890521	N15	7	41	0.745	40.8	40.7	N15_Composition_19	43	9	42	53943	55
NZ_LR890708	N15	7	41	0.745	40.8	40.7	N15_Composition_19	43	9	42	53758	55
NZ_LR890486	N15	7	41	0.82	40.8	40.7	N15_Composition_19	43	9	42	53776	50
NZ_LR890558	N15	7	41	0.82	40.8	40.7	N15_Composition_19	43	9	42	53776	50
NZ_CP034049	N15	7	40	0.784	39.8	39.7	N15_Composition_19	43	9	42	54880	51
NZ_CP057317	N15	7	39	0.765	38.9	38.7	N15_Composition_19	43	9	40	53776	51
NZ_CP036330	N15	7	38	0.844	37.8	37.7	N15_Composition_19	43	9	39	47429	45
NZ_LR025094	N15	7	40	0.816	39.8	39.7	N15_Composition_19	43	9	41	55398	49
NZ_CP021942	N15	7	41	0.631	40.8	40.7	N15_Composition_19	43	9	42	76739	65
NZ_CP021949	N15	7	40	0.635	39.8	39.7	N15_Composition_19	43	9	41	81698	63
NZ_CP009276	N15	7	42	0.808	41.8	41.7	N15_Composition_19	43	9	43	54715	52
NZ_CP008844	N15	7	39	0.696	38.8	38.7	N15_Composition_19	43	9	41	55298	56
NZ_CP011631	N15	7	40	0.784	39.8	39.7	N15_Composition_19	43	9	40	53596	51
NZ_LN824139	N15	7	37	0.661	36.8	36.7	N15_Composition_19	43	9	40	55416	56
NZ_CP021957	N15	7	42	0.667	41.8	41.7	N15_Composition_19	43	9	43	72122	63
NZ_CP023421	N15	7	41	0.82	40.8	40.7	N15_Composition_19	43	9	42	53096	50
NZ_CP045018	N15	7	38	0.704	37.8	37.7	N15_Composition_19	43	9	42	51887	54
NZ_CP021760	N15	7	41	0.804	40.8	40.7	N15_Composition_19	43	9	42	54404	51
NZ_CP024841	N15	7	42	0.656	41.8	41.7	N15_Composition_19	43	9	43	72689	64
NZ_CP024837	N15	7	41	0.707	40.8	40.7	N15_Composition_19	43	9	42	69628	58
NZ_CP028992	N15	7	41	0.683	40.8	40.7	N15_Composition_19	43	9	43	68953	60
NZ_CP024433	N15	7	42	0.808	41.8	41.7	N15_Composition_19	43	9	43	55118	52
NZ_CP032191	N15	7	42	0.667	41.8	41.7	N15_Composition_19	43	9	43	78188	63
NZ_CP050366	N15	7	42	0.808	41.8	41.7	N15_Composition_19	43	9	43	55119	52
NZ_CP070529	N15	7	43	0.589	42.8	42.7	N15_Composition_19	43	9	43	81467	73
NZ_CP070600	N15	7	43	0.683	42.8	42.7	N15_Composition_19	43	9	43	75571	63
NZ_CP056857	N15	7	40	0.702	39.8	39.7	N15_Composition_19	43	9	42	55736	57
NZ_CP070567	N15	7	40	0.588	39.8	39.7	N15_Composition_19	43	9	43	77092	68
NZ_CP009878	N15	7	38	0.704	37.8	37.7	N15_Composition_19	43	9	42	51622	54
NZ_CP026270	N15	7	37	0.649	36.8	36.7	N15_Composition_19	43	9	42	52919	57
NC_005857	N15	7	37	0.587	36.8	36.7	N15_Composition_19	43	9	43	51601	63
NZ_CP028794	N15	7	40	0.727	39.8	39.7	N15_Composition_19	43	9	41	54847	55
NZ_CP066531	N15	7	42	0.792	41.8	41.7	N15_Composition_19	43	9	43	55161	53
NZ_CP066520	N15	7	42	0.792	41.8	41.7	N15_Composition_19	43	9	43	55161	53
NZ_CP064249	N15	7	42	0.792	41.8	41.7	N15_Composition_19	43	9	43	56365	53
NZ_CP064255	N15	7	42	0.808	41.8	41.7	N15_Composition_19	43	9	43	55186	52
NZ_CP014747	N15	7	37	0.507	36.8	36.7	N15_Composition_19	43	9	40	82007	73
NZ_CP026760	N15	7	37	0.521	36.8	36.7	N15_Composition_19	43	9	40	67494	71
NZ_CP056423	N15	7	21	0.362	21	20.8	N15_Composition_19	43	9	37	47363	58
NZ_CP032182	N15	7	22	0.361	22	21.9	N15_Composition_19	43	9	37	49806	61
NZ_LR025090	N15	7	41	0.82	40.8	40.7	N15_Composition_19	43	9	42	53251	50
NZ_CP041953	N15	7	41	0.804	40.8	40.7	N15_Composition_19	43	9	42	55133	51
NZ_CP012429	N15	7	36	0.783	35.8	35.7	N15_Composition_19	43	9	36	46883	46
NZ_AP019820	N15	7	14	0.246	13.8	13.8	N15_Composition_3	23	9	23	47299	57
NZ_CP019258	N15	7	9	0.125	9	8.9	N15_Composition_3	23	9	20	75007	72
NZ_CP014491	N15	7	10	0.149	10	9.9	N15_Composition_3	23	9	22	62572	67
NZ_CP031108	N15	7	3	0.107	3	3	NA	NA	NA	NA	27197	28
NZ_CP055252	N15	7	9	0.161	9	8.9	N15_Composition_3	23	9	20	46914	56
NZ_CP055603	N15	7	7	0.167	7	6.9	N15_Composition_9	21	9	16	33901	42
NZ_LR883007	N15	7	8	0.163	8	7.9	N15_Composition_9	21	9	16	46243	49
NZ_CP055678	N15	7	9	0.164	9	8.9	N15_Composition_3	23	9	21	47010	55
NZ_CP015504	N15	7	37	0.661	36.8	36.7	N15_Composition_19	43	9	40	56230	56
NZ_CP033624	N15	7	39	0.709	38.8	38.7	N15_Composition_19	43	9	42	54773	55
NZ_CP054718	N15	7	4	0.033	4	3.9	N15_Composition_19	43	9	37	118798	120
NC_001901	N15	7	13	0.22	12.8	12.8	N15_Composition_3	23	9	23	46375	59
NC_019721	N15	7	1	0.017	0.9	0.9	NA	NA	NA	NA	40029	59
NC_019709	N15	7	1	0.015	0.9	0.9	NA	NA	NA	NA	41567	66
NC_019714	N15	7	1	0.017	0.9	0.9	NA	NA	NA	NA	39026	59
NC_019705	N15	7	1	0.015	0.9	0.9	NA	NA	NA	NA	38759	67
NC_019710	N15	7	1	0.014	0.9	0.9	NA	NA	NA	NA	40710	71
NC_019717	N15	7	1	0.014	0.9	0.9	NA	NA	NA	NA	45366	69
NC_019715	N15	7	1	0.016	0.9	0.9	NA	NA	NA	NA	39578	61
NC_019768	N15	7	1	0.016	0.9	0.9	NA	NA	NA	NA	41468	64
NC_002167	N15	7	1	0.017	0.9	0.9	NA	NA	NA	NA	39732	60
NZ_CP044185	N15	7	3	0.049	3	2.9	N15_Composition_19	43	9	36	49153	61
NZ_CP061701	N15	7	1	0.003	1	1	NA	NA	NA	NA	334893	329
NZ_CP063149	N15	7	1	0.003	1	1	NA	NA	NA	NA	375474	345
NZ_CP063748	N15	7	1	0.003	1	1	NA	NA	NA	NA	374513	341
NZ_CP023381	P11	49	70	0.7	60.9	60.1	P1_1_Composition_7	71	11	71	91199	100
NZ_CP023961	P11	49	69	0.633	59.9	59.2	P1_1_Composition_7	71	11	71	96807	109
NZ_CP024832	P11	49	68	0.648	59	58.2	P1_1_Composition_7	71	11	70	96987	105
NZ_CP024817	P11	49	68	0.636	59	58.2	P1_1_Composition_7	71	11	70	96990	107
NZ_CP027199	P11	49	71	0.717	61.6	60.8	P1_1_Composition_7	71	11	71	95895	99
NZ_CP019054	P11	49	66	0.606	57	56.4	P1_1_Composition_7	71	11	66	116028	109
NZ_CP019075	P11	49	66	0.647	57	56.2	P1_1_Composition_7	71	11	68	96986	102
NZ_CP029117	P11	49	68	0.636	59	58.2	P1_1_Composition_7	71	11	70	120846	107
NZ_CP033632	P11	49	39	0.275	31.5	30.9	NA	NA	NA	NA	147451	142
NZ_CP038506	P11	49	69	0.719	60	59.2	P1_1_Composition_7	71	11	70	92027	96
NZ_CP040920	P11	49	65	0.684	56.4	55.7	P1_1_Composition_7	71	11	65	97266	95
NZ_CP041922	P11	49	60	0.674	52	51.3	P1_1_Composition_7	71	11	61	96668	89
NZ_CP045829	P11	49	66	0.647	57.2	56.4	P1_1_Composition_7	71	11	66	100217	102
NZ_CP041960	P11	49	66	0.629	57.1	56.3	P1_1_Composition_7	71	11	68	98151	105
NZ_CP055258	P11	49	67	0.62	58	57.4	P1_1_Composition_7	71	11	67	116030	108
NZ_AP023222	P11	49	67	0.638	58.1	57.3	P1_1_Composition_7	71	11	69	98308	105
NZ_AP023233	P11	49	68	0.654	59	58.2	P1_1_Composition_7	71	11	70	98309	104
NZ_CP059290	P11	49	70	0.737	60.7	60	P1_1_Composition_7	71	11	70	92457	95
NZ_CP063334	P11	49	66	0.733	57.6	57	P1_1_Composition_7	71	11	68	96331	90
NZ_CP063505	P11	49	69	0.711	60.1	59.3	P1_1_Composition_7	71	11	71	94185	97
NZ_LR130557	P11	49	67	0.615	58.1	57.3	P1_1_Composition_7	71	11	68	112419	109
NZ_LR890200	P11	49	70	0.642	60.8	60	P1_1_Composition_7	71	11	70	95734	109
NZ_LR890538	P11	49	69	0.651	59.9	59.1	P1_1_Composition_7	71	11	70	97184	106
NZ_CP039843	P11	49	70	0.686	60.9	60.1	P1_1_Composition_7	71	11	71	95647	102
NZ_CP011063	P11	49	68	0.648	59	58.2	P1_1_Composition_7	71	11	70	98436	105
NZ_CP043218	P11	49	61	0.701	52	51.4	P1_1_Composition_7	71	11	61	102028	87
NZ_CP062902	P11	49	66	0.717	57.4	56.7	P1_1_Composition_7	71	11	68	96199	92
NZ_CP056963	P11	49	69	0.645	60.1	59.3	P1_1_Composition_7	71	11	71	98816	107
NZ_CP056970	P11	49	69	0.657	60.1	59.3	P1_1_Composition_7	71	11	71	98816	105
NZ_LR890206	P11	49	70	0.619	60.9	60.1	P1_1_Composition_7	71	11	71	95815	113
NZ_LR890724	P11	49	70	0.619	60.9	60.1	P1_1_Composition_7	71	11	71	95815	113
NZ_CP051361	P11	49	68	0.673	59.2	58.4	P1_1_Composition_7	71	11	71	95358	101
NZ_CP039862	P11	49	71	0.689	61.6	60.8	P1_1_Composition_7	71	11	71	91904	103
NZ_CP015837	P11	49	68	0.636	58.7	57.9	P1_1_Composition_7	71	11	69	98242	107
NZ_CP033848	P11	49	68	0.667	58.7	57.9	P1_1_Composition_7	71	11	68	97018	102
NZ_AP018809	P11	49	64	0.598	55.4	54.7	P1_1_Composition_7	71	11	64	99498	107
NZ_CP052881	P11	49	63	0.75	54	53.5	P1_1_Composition_7	71	11	63	93854	84
NZ_AP022544	P11	49	64	0.66	54.7	53.9	P1_1_Composition_7	71	11	64	84757	97
NZ_CP069704	P11	49	63	0.677	54.8	54.2	P1_1_Composition_7	71	11	65	105203	93
NZ_CP069714	P11	49	68	0.739	58.9	58.3	P1_1_Composition_7	71	11	68	93942	92
NZ_CP069885	P11	49	68	0.636	59.1	58.3	P1_1_Composition_7	71	11	70	95822	107
NZ_CP069975	P11	49	30	0.769	26.6	26.4	NA	NA	NA	NA	41445	39
NZ_LR882977	P11	49	70	0.598	60.6	59.8	P1_1_Composition_7	71	11	70	102017	117
NZ_CP013030	P11	49	68	0.618	58.9	58.1	P1_1_Composition_7	71	11	68	97704	110
NZ_CP015997	P11	49	69	0.697	59.7	59.1	P1_1_Composition_7	71	11	69	98216	99
NZ_CP021203	P11	49	69	0.359	59.7	59	P1_1_Composition_7	71	11	69	183508	192
NZ_CP027133	P11	49	65	0.699	55.8	55.2	P1_1_Composition_7	71	11	65	97167	93
NZ_CP027223	P11	49	43	0.566	37.6	37	P1_1_Composition_26	43	11	43	72543	76
NZ_CP027443	P11	49	64	0.64	55.6	55	P1_1_Composition_7	71	11	64	95157	100
NZ_CP027590	P11	49	59	0.602	50.5	49.8	P1_1_Composition_17	70	11	59	92449	98
NZ_CP027575	P11	49	68	0.687	58.7	57.9	P1_1_Composition_7	71	11	68	95952	99
NZ_CP033882	P11	49	69	0.704	59.7	59	P1_1_Composition_7	71	11	69	96948	98
NZ_CP040069	P11	49	68	0.68	59.1	58.3	P1_1_Composition_7	71	11	70	97582	100
NZ_CP058684	P11	49	64	0.64	55.8	55.1	P1_1_Composition_7	71	11	65	89589	100
NZ_AP022163	P11	49	67	0.698	58.1	57.3	P1_1_Composition_7	71	11	68	97833	96
NZ_CP063155	P11	49	70	0.66	60.6	59.8	P1_1_Composition_7	71	11	70	96139	106
NZ_CP062816	P11	49	67	0.588	58.2	57.4	P1_1_Composition_7	71	11	67	117229	114
NZ_CP062827	P11	49	68	0.596	59.1	58.3	P1_1_Composition_7	71	11	68	117229	114
NZ_CP062839	P11	49	68	0.576	59.1	58.3	P1_1_Composition_7	71	11	68	118942	118
NZ_CP062884	P11	49	68	0.596	59.1	58.3	P1_1_Composition_7	71	11	68	117198	114
NZ_LR882054	P11	49	71	0.807	61.6	60.8	P1_1_Composition_7	71	11	71	87822	88
