seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
NZ_CP043663	4018	No terminal repeats	3	11	0.9963	NA	2	3.8013	MOBP1	NA
NZ_LR135252	2947	No terminal repeats	5	11	0.9963	NA	0	7.6207	NA	NA
NZ_CP032072	3893	No terminal repeats	3	11	0.9963	NA	2	4.2904	MOBQ	NA
NC_017393	29902	No terminal repeats	42	11	0.9963	NA	1	60.6779	NA	NA
NZ_CP103390	2640	No terminal repeats	3	11	0.9963	NA	0	4.4663	NA	NA
NC_015903	30294	No terminal repeats	46	11	0.9962	NA	1	59.4592	NA	NA
NZ_LR890365	3888	No terminal repeats	3	11	0.9962	NA	0	3.8026	NA	NA
NZ_CP060968	12124	No terminal repeats	15	11	0.9962	NA	9	21.1173	F_traG;F_traH;F_traF;F_traN	NA
NZ_CP084816	3549	No terminal repeats	6	11	0.9962	NA	1	7.4904	NA	NA
NC_017428	30314	No terminal repeats	43	11	0.9962	NA	1	60.6779	NA	NA
NZ_CP012935	3905	No terminal repeats	3	11	0.9962	NA	2	4.2904	MOBQ	NA
NZ_CP070019	1668	No terminal repeats	2	11	0.9962	NA	1	3.066	NA	NA
NZ_CP059023	7301	No terminal repeats	8	11	0.9962	NA	1	9.7145	NA	NA
NZ_CP104360	4633	No terminal repeats	6	11	0.9962	NA	3	7.6994	NA	NA
NZ_CP094877	2189	No terminal repeats	2	11	0.9962	NA	1	2.6555	NA	NA
NZ_CP061403	3549	No terminal repeats	6	11	0.9962	NA	1	7.4904	NA	NA
NZ_CP019567	4817	No terminal repeats	3	11	0.9962	NA	1	4.2112	NA	NF000153
NZ_LR890733	3336	No terminal repeats	6	11	0.9962	NA	1	7.4904	NA	NA
NC_017423	27767	No terminal repeats	38	11	0.9962	NA	1	53.8151	NA	NA
NZ_CP083488	3780	No terminal repeats	7	11	0.9962	NA	0	8.0037	NA	NA
NZ_CP033759	3548	No terminal repeats	6	11	0.9962	NA	1	7.4904	NA	NA
NZ_CP069938	5153	No terminal repeats	7	11	0.9962	NA	2	8.9888	NA	NA
NZ_CP094568	29893	No terminal repeats	42	11	0.9962	NA	1	60.6779	NA	NA
NC_017425	30804	No terminal repeats	42	11	0.9962	NA	1	58.3851	NA	NA
NC_017422	17483	No terminal repeats	27	11	0.9962	NA	1	33.6274	NA	NA
NZ_CP030004	4593	No terminal repeats	6	11	0.9962	NA	3	7.6994	NA	NA
NZ_CP015799	27866	No terminal repeats	42	11	0.9962	NA	1	58.9596	NA	NA
NZ_CP015783	27866	No terminal repeats	42	11	0.9962	NA	1	58.9596	NA	NA
NZ_LR890732	3549	No terminal repeats	6	11	0.9962	NA	1	7.4904	NA	NA
NZ_CP049153	6613	No terminal repeats	7	11	0.9962	NA	0	7.8799	NA	NA
NZ_CP120623	8014	No terminal repeats	8	11	0.9962	NA	2	7.9483	NA	NA
NZ_CP083891	6055	No terminal repeats	8	11	0.9962	NA	6	10.5542	NA	NA
NZ_LR135233	2947	No terminal repeats	4	11	0.9962	NA	0	5.9024	NA	NA
NC_011735	29806	No terminal repeats	41	11	0.9962	NA	1	58.9699	NA	NA
NZ_CP087303	4677	No terminal repeats	7	11	0.9962	NA	2	10.0808	MOBQ	NA
NC_015905	30092	No terminal repeats	44	11	0.9962	NA	1	60.6779	NA	NA
NZ_CP017209	30054	No terminal repeats	42	11	0.9962	NA	1	60.6882	NA	NA
NZ_CP074069	30054	No terminal repeats	42	11	0.9962	NA	1	60.6882	NA	NA
NZ_CP007185	2429	No terminal repeats	3	11	0.9962	NA	1	4.7581	NA	NA
NZ_CP031406	30606	No terminal repeats	45	11	0.9962	NA	1	64.1248	NA	NA
NZ_CP017203	29892	No terminal repeats	41	11	0.9962	NA	1	58.9596	NA	NA
NZ_CP080642	4677	No terminal repeats	7	11	0.9962	NA	3	9.852	MOBQ;MOBQ	NA
NC_017427	29707	No terminal repeats	41	11	0.9962	NA	1	58.9596	NA	NA
NZ_LR890689	4268	No terminal repeats	3	11	0.9962	NA	0	3.69	NA	NA
NZ_CP094567	30055	No terminal repeats	42	11	0.9962	NA	1	60.6882	NA	NA
NC_011720	48168	No terminal repeats	69	11	0.9962	NA	2	92.1553	NA	NA
NZ_OU015953	2947	No terminal repeats	4	11	0.9962	NA	0	5.9024	NA	NA
NZ_CP030212	4081	No terminal repeats	6	11	0.9962	NA	3	7.6267	NA	NA
NC_015908	30547	No terminal repeats	42	11	0.9962	NA	1	57.2517	NA	NA
NZ_LR135400	2947	No terminal repeats	5	11	0.9962	NA	0	7.6207	NA	NA
NZ_CP051375	3605	No terminal repeats	3	11	0.9961	NA	0	4.6365	NA	NA
NC_011079	3605	No terminal repeats	3	11	0.9961	NA	0	4.6365	NA	NA
NZ_CP069910	5840	No terminal repeats	7	11	0.9961	NA	1	7.4904	NA	NA
NZ_CP019757	31245	No terminal repeats	44	11	0.9961	NA	1	62.4065	NA	NA
NZ_CP031410	13328	No terminal repeats	20	11	0.9961	NA	1	24.4701	NA	NA
NZ_CP074071	30176	No terminal repeats	41	11	0.9961	NA	1	58.9596	NA	NA
NZ_CP017205	30176	No terminal repeats	41	11	0.9961	NA	1	58.9596	NA	NA
NZ_CP072739	2574	No terminal repeats	3	11	0.9961	NA	0	3.7309	NA	NA
NZ_CP072728	2574	No terminal repeats	3	11	0.9961	NA	0	3.7309	NA	NA
NZ_CP061825	2574	No terminal repeats	3	11	0.9961	NA	0	3.7309	NA	NA
NZ_CP013983	2638	No terminal repeats	2	11	0.9961	NA	1	2.4929	NA	NF000153
NZ_CP019919	31245	No terminal repeats	44	11	0.9961	NA	1	62.4065	NA	NA
NZ_CP058193	6013	No terminal repeats	7	11	0.9961	NA	1	8.3781	NA	NA
NZ_CP094603	30801	No terminal repeats	44	11	0.9961	NA	1	62.3962	NA	NA
NZ_CP094564	30193	No terminal repeats	43	11	0.9961	NA	1	60.6882	NA	NA
NZ_CP068580	2638	No terminal repeats	2	11	0.9961	NA	1	2.4929	NA	NF000153
NC_000952	30800	No terminal repeats	43	11	0.9961	NA	1	60.6779	NA	NA
NZ_LN997847	7742	No terminal repeats	11	11	0.9961	NA	2	10.9626	MOBQ	NA
NZ_LN865144	7742	No terminal repeats	11	11	0.9961	NA	2	10.9626	MOBQ	NA
NC_011731	30330	No terminal repeats	43	11	0.9961	NA	1	60.6779	NA	NA
NZ_CP074065	30189	No terminal repeats	42	11	0.9961	NA	1	58.9699	NA	NA
NZ_CP017204	30192	No terminal repeats	42	11	0.9961	NA	1	58.9699	NA	NA
NZ_CP094563	30177	No terminal repeats	42	11	0.9961	NA	1	60.6779	NA	NA
NZ_CP056387	5783	No terminal repeats	6	11	0.9961	NA	1	5.8979	NA	NA
NZ_CP103760	3372	No terminal repeats	6	11	0.9961	NA	3	7.6994	NA	NA
NC_017397	30697	No terminal repeats	42	11	0.9961	NA	1	58.9596	NA	NA
NZ_CP068248	6292	No terminal repeats	4	11	0.9961	NA	1	2.989	MOBV	NF012176
NC_017396	30019	No terminal repeats	42	11	0.9961	NA	1	58.9596	NA	NA
NZ_CP114732	28831	No terminal repeats	26	11	0.9961	NA	1	39.5102	NA	NA
NZ_CP060993	3372	No terminal repeats	6	11	0.9961	NA	4	7.6994	NA	NA
NZ_CP094587	21166	No terminal repeats	33	11	0.9961	NA	1	40.5935	NA	NA
NZ_CP094586	30642	No terminal repeats	43	11	0.9961	NA	1	60.1902	NA	NA
NZ_CP028881	31009	No terminal repeats	44	11	0.9961	NA	1	62.3962	NA	NA
NZ_AP025236	7659	No terminal repeats	11	11	0.9961	NA	1	12.0414	MOBB;t4cp1	NA
NZ_CP028880	28588	No terminal repeats	40	11	0.9961	NA	1	55.5437	NA	NA
NZ_CP056376	5783	No terminal repeats	6	11	0.9961	NA	1	5.8979	NA	NA
NZ_LR890460	5840	No terminal repeats	7	11	0.9961	NA	1	7.4904	NA	NA
NZ_CP075709	3904	No terminal repeats	3	11	0.9961	NA	2	4.2904	MOBQ	NA
NZ_CP031408	30883	No terminal repeats	52	11	0.9961	NA	1	68.0403	NA	NA
NZ_CP068585	2426	No terminal repeats	3	11	0.9961	NA	1	4.7581	NA	NA
NZ_CP068590	2426	No terminal repeats	3	11	0.9961	NA	1	4.7581	NA	NA
NZ_CP063491	9580	No terminal repeats	7	11	0.9961	NA	3	7.7194	MOBQ	NA
NZ_CP096534	2361	No terminal repeats	2	11	0.9961	NA	1	2.5009	NA	NF000153
NZ_AP023406	4897	No terminal repeats	8	11	0.9961	NA	2	7.8917	MOBP1	NA
NZ_CP059021	21661	No terminal repeats	27	11	0.9961	NA	1	33.1957	NA	NA
NZ_CP066679	4305	No terminal repeats	6	11	0.9961	NA	1	7.8104	NA	NA
NZ_CP060923	3374	No terminal repeats	6	11	0.9961	NA	3	7.6994	NA	NA
NZ_CP059024	9918	No terminal repeats	15	11	0.9961	NA	1	20.0242	NA	NA
NZ_CP094604	30886	No terminal repeats	44	11	0.9961	NA	1	60.6779	NA	NA
NZ_LR890623	3549	No terminal repeats	7	11	0.9961	NA	1	7.4904	NA	NA
NZ_CP019921	62238	DTR	92	11	0.9961	NA	2	121.4933	NA	NA
NZ_CP084666	5113	No terminal repeats	6	11	0.996	NA	2	6.5229	NA	NA
NZ_CP094582	30796	No terminal repeats	43	11	0.996	NA	1	58.9699	NA	NA
NC_000951	29838	No terminal repeats	41	11	0.996	NA	1	57.2517	NA	NA
NZ_CP024369	27648	No terminal repeats	24	11	0.996	NA	1	36.0633	NA	NA
NZ_CP104365	4585	No terminal repeats	6	11	0.996	NA	3	6.6151	MOBQ	NA
NZ_CP021785	4484	No terminal repeats	6	11	0.996	NA	2	4.926	MOBQ	NA
NZ_CP077729	31004	No terminal repeats	43	11	0.996	NA	1	60.6779	NA	NA
NZ_CP019918	56632	No terminal repeats	82	11	0.996	NA	2	112.7747	NA	NA
NZ_CP116029	3425	No terminal repeats	6	11	0.996	NA	0	8.085	NA	NA
NZ_CP074070	29890	No terminal repeats	43	11	0.996	NA	1	60.6779	NA	NA
NZ_CP083782	3549	No terminal repeats	7	11	0.996	NA	1	7.4904	NA	NA
NZ_CP049851	5119	No terminal repeats	6	11	0.996	NA	2	7.4283	NA	NA
NZ_CP019759	30300	No terminal repeats	43	11	0.996	NA	1	56.6771	NA	NA
NC_000953	30885	No terminal repeats	43	11	0.996	NA	1	58.9596	NA	NA
NZ_CP094600	30224	No terminal repeats	44	11	0.996	NA	1	60.6779	NA	NA
NZ_OU016044	2947	No terminal repeats	5	11	0.996	NA	0	5.9024	NA	NA
NZ_CP080581	4677	No terminal repeats	6	11	0.996	NA	2	8.3625	MOBQ	NA
NZ_CP066634	4305	No terminal repeats	6	11	0.996	NA	1	7.8104	NA	NA
NZ_CP019850	30580	No terminal repeats	47	11	0.996	NA	1	61.8216	NA	NA
NZ_CP023650	5153	No terminal repeats	6	11	0.996	NA	2	7.427	NA	NA
NZ_CP094602	29839	No terminal repeats	41	11	0.996	NA	1	57.2517	NA	NA
NZ_CP094585	30637	No terminal repeats	44	11	0.996	NA	1	60.6779	NA	NA
NZ_CP074040	3372	No terminal repeats	6	11	0.996	NA	4	7.6994	NA	NA
NZ_CP049805	2531	No terminal repeats	2	11	0.996	NA	1	2.4929	NA	NF000153
NC_015911	10209	No terminal repeats	10	11	0.996	NA	1	11.4534	NA	NA
NC_009346	5153	No terminal repeats	6	11	0.996	NA	2	7.427	NA	NA
NZ_CP094601	30300	No terminal repeats	43	11	0.996	NA	1	56.6771	NA	NA
NC_015906	66242	No terminal repeats	103	11	0.996	NA	4	116.0554	NA	NA
NZ_CP086507	6647	No terminal repeats	9	11	0.996	NA	3	10.082	NA	NA
NZ_CP015798	30433	No terminal repeats	44	11	0.996	NA	1	58.3954	NA	NA
NZ_CP015782	30433	No terminal repeats	44	11	0.996	NA	1	58.3954	NA	NA
NZ_CP050818	3425	No terminal repeats	6	11	0.996	NA	0	8.085	NA	NA
NZ_CP066494	2372	No terminal repeats	2	11	0.996	NA	1	2.6476	NA	NA
NZ_CP019758	30222	No terminal repeats	44	11	0.996	NA	1	58.3851	NA	NA
NZ_CP094583	30302	No terminal repeats	43	11	0.996	NA	1	58.9803	NA	NA
NC_016823	5153	No terminal repeats	6	11	0.996	NA	2	7.427	NA	NA
NC_000950	30299	No terminal repeats	43	11	0.996	NA	1	56.6771	NA	NA
NZ_CP019848	30299	No terminal repeats	43	11	0.996	NA	1	56.6771	NA	NA
NZ_CP015802	17017	No terminal repeats	23	11	0.996	NA	1	25.0919	NA	NA
NZ_CP015786	17017	No terminal repeats	23	11	0.996	NA	1	25.0919	NA	NA
NC_017424	30154	No terminal repeats	42	11	0.996	NA	1	58.9699	NA	NA
NZ_CP099498	2360	No terminal repeats	3	11	0.996	NA	2	3.4381	NA	NF000153
NZ_AP024594	5263	No terminal repeats	6	11	0.996	NA	1	5.7721	NA	NA
NZ_CP056548	4613	No terminal repeats	7	11	0.996	NA	2	6.739	MOBP1	NA
NC_000949	30223	No terminal repeats	43	11	0.996	NA	1	58.9596	NA	NA
NZ_CP099507	2360	No terminal repeats	2	11	0.996	NA	1	2.5009	NA	NF000153
NZ_CP099501	2360	No terminal repeats	2	11	0.996	NA	1	2.5009	NA	NF000153
NZ_CP019847	30418	No terminal repeats	43	11	0.996	NA	1	58.9596	NA	NA
NZ_CP109778	5153	No terminal repeats	6	11	0.996	NA	2	7.427	NA	NA
NZ_CP019756	61418	No terminal repeats	89	11	0.996	NA	2	122.6424	NA	NA
NC_011093	4585	No terminal repeats	5	11	0.996	NA	2	4.8968	MOBQ	NA
NZ_CP095537	15727	No terminal repeats	12	11	0.996	NA	6	16.3424	MOBQ;MOBQ;MOBQ;MOBQ	NA
NZ_LR890366	3549	No terminal repeats	7	11	0.996	NA	1	7.4904	NA	NA
NZ_CP066432	4305	No terminal repeats	6	11	0.996	NA	2	7.0293	NA	NA
NZ_CP118905	3681	No terminal repeats	6	11	0.996	NA	1	7.4904	NA	NA
NZ_CP056161	6346	No terminal repeats	6	11	0.996	NA	2	7.1561	NA	NA
NC_017394	60739	No terminal repeats	88	11	0.996	NA	2	116.2009	NA	NA
NZ_CP065166	5783	No terminal repeats	6	11	0.996	NA	1	5.8979	NA	NA
NC_017402	30658	No terminal repeats	47	11	0.996	NA	1	61.9542	NA	NA
NZ_CP054231	7154	No terminal repeats	9	11	0.996	NA	3	10.2969	NA	NA
NZ_CP015801	30406	No terminal repeats	43	11	0.996	NA	1	58.9699	NA	NA
NZ_CP015785	30406	No terminal repeats	43	11	0.996	NA	1	58.9699	NA	NA
NC_017485	5543	No terminal repeats	7	11	0.996	NA	1	6.303	NA	NA
NC_017426	31085	No terminal repeats	42	11	0.996	NA	1	58.9596	NA	NA
NC_000948	30750	No terminal repeats	43	11	0.996	NA	1	58.9699	NA	NA
NZ_CP069462	3360	No terminal repeats	6	11	0.996	NA	4	7.6994	NA	NA
NZ_CP075711	2461	No terminal repeats	2	11	0.996	NA	2	2.2861	NA	NA
NC_019969	4175	No terminal repeats	6	11	0.996	NA	2	8.0886	MOBP1	NA
NZ_LR135285	4305	No terminal repeats	6	11	0.996	NA	2	7.0293	NA	NA
NZ_CP032129	4353	No terminal repeats	6	11	0.996	NA	3	8.3625	MOBQ	NA
NZ_CP094605	30652	No terminal repeats	49	11	0.996	NA	1	63.5399	NA	NA
NZ_LR898872	3838	No terminal repeats	5	11	0.996	NA	0	5.8652	NA	NA
NZ_CP024216	27463	No terminal repeats	26	11	0.996	NA	1	37.7816	NA	NA
NZ_CP097096	50185	No terminal repeats	58	11	0.996	NA	28	62.2101	F_traL;F_traE;F_traK;F_traV;virb4;F_traW;F_traU;F_traN;F_traF;F_traH;F_traG;MOBF	NA
NZ_CP118991	4614	No terminal repeats	7	11	0.996	NA	2	6.739	MOBP1	NA
NC_001904	9386	No terminal repeats	10	11	0.996	NA	1	11.4534	NA	NA
NZ_CP069881	1596	No terminal repeats	4	11	0.996	NA	1	5.2821	NA	NA
NC_000954	30651	No terminal repeats	48	11	0.996	NA	1	61.8216	NA	NA
NZ_CP070005	4760	No terminal repeats	6	11	0.996	NA	1	7.3301	NA	NA
NZ_CP019760	30651	No terminal repeats	48	11	0.996	NA	1	61.8216	NA	NA
NZ_CP054944	3608	No terminal repeats	2	11	0.996	NA	1	3.1403	NA	NA
NZ_AP019746	5898	No terminal repeats	9	11	0.996	NA	2	8.7006	MOBQ	NA
NZ_CP051401	3372	No terminal repeats	6	11	0.9959	NA	4	7.4036	NA	NA
NZ_CP070055	1021	No terminal repeats	2	11	0.9959	NA	1	3.0666	NA	NA
NZ_CP114711	27637	No terminal repeats	25	11	0.9959	NA	1	36.0633	NA	NA
NZ_LR890495	3549	No terminal repeats	6	11	0.9959	NA	1	7.4904	NA	NA
NZ_CP117085	27504	No terminal repeats	25	11	0.9959	NA	1	36.0633	NA	NA
NZ_CP119158	4587	No terminal repeats	5	11	0.9959	NA	1	6.0921	NA	NA
NZ_CP103117	6703	No terminal repeats	10	11	0.9959	NA	1	11.0655	t4cp1;MOBB	NA
NZ_CP070030	4245	No terminal repeats	5	11	0.9959	NA	2	5.5196	MOBP1	NA
NZ_CP019849	30674	No terminal repeats	47	11	0.9959	NA	1	63.6828	NA	NA
NC_010659	5114	No terminal repeats	4	11	0.9959	NA	2	5.8847	MOBQ	NA
NZ_CP069547	3816	No terminal repeats	5	11	0.9959	NA	3	5.9811	NA	NA
NC_011736	30964	No terminal repeats	44	11	0.9959	NA	1	58.9699	NA	NA
NZ_CP094606	9387	No terminal repeats	10	11	0.9959	NA	1	11.4534	NA	NA
NZ_CP066627	4305	No terminal repeats	5	11	0.9959	NA	1	6.0921	NA	NA
NZ_CP066612	4305	No terminal repeats	5	11	0.9959	NA	1	6.0921	NA	NA
NZ_CP066619	4305	No terminal repeats	5	11	0.9959	NA	1	6.0921	NA	NA
NZ_CP063504	5264	No terminal repeats	5	11	0.9959	NA	1	5.7684	NA	NA
NZ_LR890212	3681	No terminal repeats	7	11	0.9959	NA	1	7.4904	NA	NA
NZ_CP102543	25480	No terminal repeats	32	11	0.9959	NA	4	32.3399	FATA_trsC;FATA_trsD;FATA_trsF	NA
NZ_CP094599	30749	No terminal repeats	45	11	0.9959	NA	1	60.6882	NA	NA
NZ_CP066590	4305	No terminal repeats	5	11	0.9959	NA	1	6.0921	NA	NA
NZ_CP101644	25480	No terminal repeats	32	11	0.9959	NA	4	32.3399	FATA_trsC;FATA_trsD;FATA_trsF	NA
NZ_CP033802	6301	No terminal repeats	6	11	0.9959	NA	3	6.5043	MOBP1	NA
NZ_CP058060	5264	No terminal repeats	5	11	0.9959	NA	1	5.7684	NA	NA
NZ_CP117115	27811	No terminal repeats	25	11	0.9959	NA	1	36.0633	NA	NA
NZ_CP024397	27717	No terminal repeats	25	11	0.9959	NA	1	36.0633	NA	NA
NZ_CP041681	4734	No terminal repeats	5	11	0.9959	NA	2	4.8968	MOBQ	NA
NC_011722	30467	No terminal repeats	46	11	0.9959	NA	1	59.6614	NA	NA
NZ_LR890605	56756	No terminal repeats	67	11	0.9959	NA	27	66.1223	MOBF;F_traG;F_traH;F_traF;F_traN;F_traN;F_traU;F_traW;virb4;F_traV;F_traK;F_traE;F_traL	NA
NZ_CP019920	25789	No terminal repeats	36	11	0.9959	NA	1	46.9316	NA	NA
NZ_AP023295	60222	No terminal repeats	69	11	0.9959	NA	28	71.0778	F_traL;F_traE;F_traK;F_traV;virb4;F_traW;F_traU;F_traN;F_traF;F_traH;F_traG;MOBF	NA
NZ_CP083485	10410	No terminal repeats	11	11	0.9959	NA	2	7.4324	MOBP1	NA
NZ_CP094584	30263	No terminal repeats	43	11	0.9959	NA	1	57.2517	NA	NA
NZ_CP053758	5114	No terminal repeats	4	11	0.9959	NA	2	5.8847	MOBQ	NA
NZ_CP045938	5114	No terminal repeats	4	11	0.9959	NA	2	5.8847	MOBQ	NA
NZ_CP068094	4028	No terminal repeats	5	11	0.9959	NA	3	5.9811	NA	NA
NZ_CP028868	30422	No terminal repeats	45	11	0.9959	NA	1	58.3155	NA	NA
NZ_CP033129	4890	No terminal repeats	9	11	0.9959	NA	2	10.623	MOBQ	NA
NZ_CP051419	3372	No terminal repeats	6	11	0.9959	NA	4	7.4036	NA	NA
NZ_CP066573	4316	No terminal repeats	5	11	0.9959	NA	1	6.0921	NA	NA
NZ_CP059027	18985	No terminal repeats	25	11	0.9959	NA	1	30.2365	NA	NA
NZ_CP017207	18340	No terminal repeats	29	11	0.9959	NA	1	32.5413	NA	NA
NZ_CP074067	18341	No terminal repeats	29	11	0.9959	NA	1	32.5413	NA	NA
NZ_CP051850	7472	No terminal repeats	8	11	0.9959	NA	3	8.5786	NA	NA
NZ_CP094565	18341	No terminal repeats	29	11	0.9959	NA	1	32.5413	NA	NA
NZ_CP101870	9533	No terminal repeats	6	11	0.9959	NA	2	6.0011	MOBQ	NA
NZ_CP090453	9533	No terminal repeats	6	11	0.9959	NA	2	6.0011	MOBQ	NA
NZ_CP019025	6647	No terminal repeats	8	11	0.9959	NA	3	8.9092	NA	NA
NZ_CP039602	3374	No terminal repeats	5	11	0.9959	NA	3	5.9811	NA	NA
NZ_CP030298	70438	No terminal repeats	84	11	0.9959	NA	28	79.223	F_traL;F_traE;F_traK;F_traV;virb4;F_traW;F_traU;F_traN;F_traF;F_traH;F_traG;MOBF	NA
NZ_CP104684	4075	No terminal repeats	4	11	0.9959	NA	0	4.5215	NA	NA
NZ_CP068284	67408	No terminal repeats	75	11	0.9959	NA	28	77.003	MOBF;F_traG;F_traH;F_traF;F_traN;F_traU;F_traW;virb4;F_traV;F_traK;F_traE;F_traL	NA
NC_015910	30767	No terminal repeats	44	11	0.9959	NA	1	55.5334	NA	NA
NZ_AP022165	6647	No terminal repeats	8	11	0.9959	NA	3	8.9092	NA	NA
NZ_CP086497	6647	No terminal repeats	8	11	0.9959	NA	3	8.9092	NA	NA
NZ_CP031399	11401	No terminal repeats	12	11	0.9959	NA	1	13.1717	NA	NA
NZ_CP026411	4613	No terminal repeats	7	11	0.9959	NA	2	6.739	MOBP1	NA
NZ_CP094581	30287	No terminal repeats	43	11	0.9959	NA	1	57.2413	NA	NA
NZ_CP099591	67408	No terminal repeats	73	11	0.9959	NA	27	76.1455	F_traL;F_traE;F_traK;F_traV;virb4;F_traW;F_traU;F_traN;F_traF;F_traH;F_traG;MOBF	NA
NZ_CP116092	6647	No terminal repeats	8	11	0.9959	NA	3	8.9092	NA	NA
NZ_CP019365	33893	No terminal repeats	32	11	0.9959	NA	1	49.7786	NA	NA
NZ_CP091565	70486	No terminal repeats	84	11	0.9959	NA	28	79.223	F_traL;F_traE;F_traK;F_traV;virb4;F_traW;F_traU;F_traN;F_traF;F_traH;F_traG;MOBF	NA
NZ_CP088194	4147	No terminal repeats	5	11	0.9959	NA	0	5.9024	NA	NA
NZ_CP066217	4147	No terminal repeats	5	11	0.9959	NA	0	5.9024	NA	NA
NZ_LR135785	4147	No terminal repeats	5	11	0.9959	NA	0	5.9024	NA	NA
NZ_LR135173	4147	No terminal repeats	5	11	0.9959	NA	0	5.9024	NA	NA
NZ_CP044326	4147	No terminal repeats	5	11	0.9959	NA	0	5.9024	NA	NA
NZ_CP065759	4147	No terminal repeats	5	11	0.9959	NA	0	5.9024	NA	NA
