P-P type	HMM profile ID	Protein representative ID	P-P score	P-P type score	Sequence score threshold	Neff value	geNomad hit	geNomad annotation	pident (geNomad)	evalue (geNomad)	bitscore (geNomad)	PHROGs hit	PHROGs Annotation	Protein category (PHROGs)	evalue (PHROGs)	cov_profile (PHROGs)	Rep/Par hit	evalue (Rep/Par)	cov_profile (Rep/Par)
AB_1	AB_pers_BS065_RS19770	BS065_RS19770	1	1	1003.8	1	GENOMAD.167456.VC	DNA polymerase III, alpha subunit	0.321	1.702e-11	69	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_C2U32_RS19265	C2U32_RS19265	1	1	1472.7	1	GENOMAD.176906.VP	rad50	0.168	6.063e-21	101	phrog_77	SbcC-like subunit of palindrome specific endonuclease	DNA, RNA and nucleotide metabolism	7.7e-151	0.665	NA	NA	NA
AB_1	AB_pers_C2U32_RS19270	C2U32_RS19270	1	1	874.6	1	GENOMAD.220361.VP	DNA repair exonuclease SbcCD nuclease subunit	0.366	9.739e-31	128	phrog_7909	ribonucleoside-diphosphate reductase beta subunit	DNA, RNA and nucleotide metabolism	1.9e-4	0.62	NA	NA	NA
AB_1	AB_pers_CBL09_RS20525	CBL09_RS20525	0.914	0.914	463.4	1	GENOMAD.225001.VP	NA	0.846	1.708e-111	355	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_CBL09_RS20530	CBL09_RS20530	0.969	0.969	362.6	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_CBL09_RS20535	CBL09_RS20535	0.912	0.912	1137	1	GENOMAD.226953.VP	NA	0.898	1.779e-55	208	phrog_114	ATP-dependent DNA ligase	DNA, RNA and nucleotide metabolism	3.1e-199	0.894	NA	NA	NA
AB_1	AB_pers_CBL09_RS20695	CBL09_RS20695	1	1	727	1	GENOMAD.125783.VC	NA	0.392	8.346e-33	132	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_CBL09_RS20700	CBL09_RS20700	1	1	207.9	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_EA719_RS18725	EA719_RS18725	0.889	0.889	144.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_EA719_RS18730	EA719_RS18730	0.939	0.939	1472.6	1	GENOMAD.030274.VV	NA	0.194	7.85e-4	45	phrog_5298	cobalamin biosynthesis protein	moron, auxiliary metabolic gene and host takeover	3.2e-27	0.837	NA	NA	NA
AB_1	AB_pers_EA719_RS18735	EA719_RS18735	0.941	0.941	993.4	1	GENOMAD.103310.VV	cobaltochelatase, CobS subunit	0.344	2.86e-10	65	phrog_249	porphyrin biosynthesis	moron, auxiliary metabolic gene and host takeover	5.699999999999999e-108	1.079	NA	NA	NA
AB_1	AB_pers_EA719_RS18890	EA719_RS18890	0.914	0.914	601.5	1	GENOMAD.226812.VP	NA	0.671	6.302e-116	371	phrog_15752	protein kinase; inhibitor of host transcription; positively regulates RNaseIII; negatively on RNaseE	other	1.3e-8	0.719	NA	NA	NA
AB_1	AB_pers_EA719_RS18895	EA719_RS18895	0.97	0.97	316.9	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_EA719_RS19075	EA719_RS19075	0.889	0.889	473.6	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_EA719_RS19235	EA719_RS19235	0.889	0.889	282.8	1	GENOMAD.221054.VP	NA	0.727	1.047e-56	193	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_EA719_RS19240	EA719_RS19240	0.889	0.889	486.2	1.1	GENOMAD.082189.VV	Phage-related lysozyme (muramidase), GH24 family	0.423	2.294e-20	92	phrog_7910	endolysin	lysis	4e-23	0.938	NA	NA	NA
AB_1	AB_pers_EG364_RS20340	EG364_RS20340	1	1	455.8	1	GENOMAD.147575.VV	HNH endonuclease; NUMOD1 domain	0.295	1.89e-9	59	phrog_959	HNH endonuclease	DNA, RNA and nucleotide metabolism	1.1e-34	0.993	NA	NA	NA
AB_1	AB_pers_EHF38_RS18585	EHF38_RS18585	1	1	271.4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_EHF38_RS18745	EHF38_RS18745	0.939	0.939	381.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_FK728_RS18175	FK728_RS18175	0.914	0.914	443.1	1	NA	NA	NA	NA	NA	phrog_1815	guanylate kinase	other	1.4e-66	0.959	NA	NA	NA
AB_1	AB_pers_FK728_RS18345	FK728_RS18345	1	1	187.1	1	GENOMAD.189085.VV	NA	1	9.889e-47	161	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_FK728_RS18765	FK728_RS18765	0.941	0.941	379.8	1	GENOMAD.192223.VP	NA	0.595	1.212e-54	189	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_FQZ15_RS19135	FQZ15_RS19135	1	1	544.1	1	GENOMAD.145202.VV	NA	0.91	9.63e-141	441	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_FQZ15_RS19140	FQZ15_RS19140	1	1	271.5	1	GENOMAD.180831.VP	Minor capsid protein	0.742	8.873e-52	178	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_FQZ15_RS19295	FQZ15_RS19295	0.941	0.941	524.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	parA_big_nr_90_40_FAM16	3.2e-20	0.969
AB_1	AB_pers_FQZ15_RS19455	FQZ15_RS19455	1	1	125.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_FQZ15_RS19460	FQZ15_RS19460	1	1	420.5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_FQZ17_RS19670	FQZ17_RS19670	1	1	640.6	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_FQZ17_RS19675	FQZ17_RS19675	1	1	471.6	1	GENOMAD.153294.VP	Holliday junction resolvasome RuvABC endonuclease subunit	0.5	9.742e-48	171	phrog_159	RuvC-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism	2.3e-54	0.603	NA	NA	NA
AB_1	AB_pers_FQZ17_RS19690	FQZ17_RS19690	1	1	778.5	1	NA	NA	NA	NA	NA	phrog_86	ribonucleoside diphosphate reductase small subunit	DNA, RNA and nucleotide metabolism	3.1e-95	0.637	NA	NA	NA
AB_1	AB_pers_FQZ17_RS20010	FQZ17_RS20010	1	1	285.9	1	GENOMAD.171056.VP	Bacteriophage minor capsid protein	0.693	3.146e-52	180	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_FQZ17_RS20015	FQZ17_RS20015	1	1	385.5	1	GENOMAD.195646.VP	phage protein, HK97 gp10 family	0.724	1.887e-75	249	phrog_927	tail completion or Neck1 protein	connector	1.1e-78	0.97	NA	NA	NA
AB_1	AB_pers_FQZ19_RS19470	FQZ19_RS19470	0.941	0.941	306.9	1	GENOMAD.227650.VP	NA	0.905	7.647e-78	254	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_FQZ19_RS19630	FQZ19_RS19630	0.912	0.912	421.6	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_FQZ19_RS19790	FQZ19_RS19790	1	1	1883.7	1	GENOMAD.043924.VV	NA	0.175	6.331e-12	72	phrog_84	ribonucleoside-diphosphate reductase large subunit	DNA, RNA and nucleotide metabolism	3.6e-260	0.81	NA	NA	NA
AB_1	AB_pers_FRO58_RS19560	FRO58_RS19560	1	1	322.9	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_FRO58_RS19565	FRO58_RS19565	1	1	291.3	1	GENOMAD.205079.VV	NA	0.326	1.139e-12	66	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_FRO58_RS19900	FRO58_RS19900	1	1	374.8	1	GENOMAD.181315.VP	NA	0.297	3.124e-16	78	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_FRO58_RS19905	FRO58_RS19905	1	1	589.1	1	GENOMAD.071238.VV	NA	0.291	1.265e-27	115	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_GOD87_RS17930	GOD87_RS17930	0.914	0.914	607.8	1.1	GENOMAD.222256.VP	NA	0.625	6.89e-120	384	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_GOD87_RS18045	GOD87_RS18045	0.886	0.886	297.9	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_GOD87_RS18205	GOD87_RS18205	1	1	586.4	1	GENOMAD.168265.VP	Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif	0.407	2.557e-49	178	phrog_2635	tail protein	tail	1.8e-30	1.059	NA	NA	NA
AB_1	AB_pers_GWK28_RS18600	GWK28_RS18600	1	1	266.9	1	GENOMAD.098051.VV	NA	0.453	2.66e-18	82	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_GWK28_RS18760	GWK28_RS18760	0.941	0.941	469	1	GENOMAD.225239.VP	NA	0.821	1.118e-109	350	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_GWK28_RS18845	GWK28_RS18845	0.938	0.938	519	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_GWK28_RS18940	GWK28_RS18940	0.886	0.886	492.7	1	NA	NA	NA	NA	NA	phrog_723	ParB-like partition protein	DNA, RNA and nucleotide metabolism	1.2e-75	0.946	NA	NA	NA
AB_1	AB_pers_GWK28_RS18945	GWK28_RS18945	0.886	0.886	1358.8	1	GENOMAD.152072.VP	Phage minor tail protein L	0.284	4.053e-64	234	phrog_16	DNA helicase	DNA, RNA and nucleotide metabolism	9.9e-114	0.553	NA	NA	NA
AB_1	AB_pers_H0S62_RS18970	H0S62_RS18970	0.941	0.941	759.3	1	NA	NA	NA	NA	NA	phrog_886	ABC transporter ATP-binding subunit	moron, auxiliary metabolic gene and host takeover	2.2e-154	1.031	NA	NA	NA
AB_1	AB_pers_H0S62_RS18975	H0S62_RS18975	0.941	0.941	304.7	1	NA	NA	NA	NA	NA	phrog_22	thioredoxin domain	DNA, RNA and nucleotide metabolism	3.8e-30	0.846	NA	NA	NA
AB_1	AB_pers_H0S62_RS19165	H0S62_RS19165	1	1	242.9	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_H0S62_RS19355	H0S62_RS19355	0.941	0.941	523.8	1	GENOMAD.218280.VP	NA	0.751	6.868e-108	346	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_H0S62_RS19360	H0S62_RS19360	0.941	0.941	516.4	1	GENOMAD.224606.VP	alternative sigma factor RpoH	0.858	5.486e-125	395	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_H0S62_RS19515	H0S62_RS19515	1	1	554.7	1	GENOMAD.152072.VP	Phage minor tail protein L	0.486	5.581e-69	234	phrog_4199	minor tail protein	tail	1.4e-48	0.682	NA	NA	NA
AB_1	AB_pers_H7R41_RS17710	H7R41_RS17710	1	1	413.7	1	GENOMAD.132619.VP	NA	0.576	1.934e-57	198	phrog_2175	protein with Ig domain	other	7.400000000000001e-81	0.952	NA	NA	NA
AB_1	AB_pers_HFD79_RS19330	HFD79_RS19330	0.941	0.941	328.1	1	GENOMAD.226143.VP	NA	0.674	1.506e-58	199	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_HFD79_RS19490	HFD79_RS19490	1	1	530.6	1	GENOMAD.206586.VC	Dephospho-CoA kinase	1	5.713e-24	103	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_HFD79_RS19670	HFD79_RS19670	0.886	0.886	419.2	1.1	GENOMAD.225862.VP	NA	0.309	8.38e-7	51	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_HFD79_RS19675	HFD79_RS19675	0.938	0.938	159.3	1.1	GENOMAD.220749.PV	NA	0.871	3.772e-49	169	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_HFD79_RS19680	HFD79_RS19680	0.886	0.886	210.1	1	GENOMAD.226952.VP	NA	0.812	2.646e-47	164	phrog_3887	transcriptional regulator	transcription regulation	3.5e-5	0.574	NA	NA	NA
AB_1	AB_pers_HFD80_RS19465	HFD80_RS19465	0.969	0.969	244.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_HFD80_RS19480	HFD80_RS19480	1	1	160.8	1	GENOMAD.226951.VP	NA	0.831	1.422e-31	117	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_HFD80_RS19625	HFD80_RS19625	1	1	675.5	1	GENOMAD.106654.VP	gp32 DNA binding protein like	0.357	7.458e-53	190	phrog_1192	single strand DNA binding protein	DNA, RNA and nucleotide metabolism	8.000000000000001e-88	0.871	NA	NA	NA
AB_1	AB_pers_HFD80_RS19965	HFD80_RS19965	1	1	1011.2	1	GENOMAD.124421.VP	NA	0.3	2.257e-48	182	phrog_10250	terminase large subunit	head and packaging	1.9e-53	0.939	NA	NA	NA
AB_1	AB_pers_IMO23_RS18370	IMO23_RS18370	1	1	703.2	1	GENOMAD.208864.VP	Phage capsid-like protein	0.339	1.072e-54	196	phrog_212	major head protein	head and packaging	3e-108	0.993	NA	NA	NA
AB_1	AB_pers_IMO23_RS18445	IMO23_RS18445	1	1	7689.9	1.2	GENOMAD.222240.VP	NA	0.873	0	4027	phrog_2589	tail protein	tail	0	0.701	NA	NA	NA
AB_1	AB_pers_IMO23_RS18550	IMO23_RS18550	0.889	0.889	287	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_P795_RS17530	P795_RS17530	1	1	448.1	1	GENOMAD.147093.VP	Phage-related protein, tail component	0.28	3.225e-17	82	phrog_32	tail assembly protein	tail	6.399999999999999e-53	0.911	NA	NA	NA
AB_1	AB_pers_P795_RS17555	P795_RS17555	1	1	220.9	1	GENOMAD.192874.VP	NA	0.677	3.569e-39	141	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_P795_RS17690	P795_RS17690	0.886	0.886	601	1	GENOMAD.225623.VP	NA	0.922	1.065e-165	515	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_P795_RS17885	P795_RS17885	1	1	171	1.1	GENOMAD.223679.VP	NA	0.541	2.359e-27	106	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_RU84_RS18855	RU84_RS18855	0.941	0.941	491.9	1	GENOMAD.178051.VP	ParB/RepB/Spo0J family partition protein	0.434	2.808e-18	86	phrog_930	ParB-like partition protein	DNA, RNA and nucleotide metabolism	1.899999999999999e-108	0.964	NA	NA	NA
AB_1	AB_pers_RU84_RS18860	RU84_RS18860	0.941	0.941	499.1	1	GENOMAD.085888.VV	NA	0.215	5.271e-4	43	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_RU84_RS19020	RU84_RS19020	0.889	0.889	870.3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	rep_Rpt-F	2.5e-47	1.066
AB_1	AB_pers_RU84_RS19025	RU84_RS19025	0.941	0.941	575.7	1	GENOMAD.223181.VP	NA	0.312	4.52e-25	107	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_RU84_RS19035	RU84_RS19035	0.889	0.889	1092.9	1	GENOMAD.141497.VP	replicative DNA helicase	0.21	4.634e-21	100	phrog_19	DnaB-like replicative helicase	DNA, RNA and nucleotide metabolism	1.5e-89	0.744	NA	NA	NA
AB_1	AB_pers_RU84_RS19040	RU84_RS19040	0.914	0.914	874.7	1	GENOMAD.058023.VV	DNA primase-related protein	0.191	1.162e-6	53	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_SG90_RS19160	SG90_RS19160	1	1	827.2	1	GENOMAD.218988.VP	T4 RNase H, C terminal	0.252	1.212e-7	56	phrog_107	exonuclease	DNA, RNA and nucleotide metabolism	3.4e-66	0.635	NA	NA	NA
AB_1	AB_pers_SG90_RS19170	SG90_RS19170	1	1	252.4	1	GENOMAD.220143.VP	Uncharacterized protein YqfB, UPF0267 family	0.914	1.9e-69	229	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_SG90_RS19510	SG90_RS19510	1	1	655.9	1	GENOMAD.166276.VP	NA	0.429	2.342e-50	183	phrog_206	head scaffolding protein	head and packaging	1.1e-56	0.932	NA	NA	NA
AB_1	AB_pers_TE32_RS20100	TE32_RS20100	1	1	242	1	GENOMAD.178366.VP	NA	0.612	3.08e-39	142	NA	NA	NA	NA	NA	NA	NA	NA
N15	N15_pers_A6D67_RS28650	A6D67_RS28650	1	0.969	253.6	1.1	GENOMAD.005158.VV	TIGR02646 family protein	0.452	2.42e-10	59	phrog_144	HNH endonuclease	DNA, RNA and nucleotide metabolism	2.6e-44	0.68	NA	NA	NA
N15	N15_pers_AB185_RS00765	AB185_RS00765	1	1	303.5	1.2	GENOMAD.113134.VV	NA	0.836	1.275e-84	275	NA	NA	NA	NA	NA	NA	NA	NA
N15	N15_pers_ACG94_RS28095	ACG94_RS28095	1	1	435	1.1	GENOMAD.212789.VC	cyanase	0.199	9.102e-4	42	phrog_2328	transcriptional repressor	transcription regulation	3.7e-9	0.547	NA	NA	NA
N15	N15_pers_AL497_RS00335	AL497_RS00335	1	1	315.1	1.1	GENOMAD.086670.VV	Phage tail tube protein family	0.834	6.644e-82	267	phrog_10528	major tail protein	tail	3.1e-4	0.69	NA	NA	NA
N15	N15_pers_AL497_RS00340	AL497_RS00340	1	1	249.7	1	GENOMAD.094925.VV	Phage tail assembly chaperone protein, TAC	0.713	2.623e-51	177	phrog_25875	tail assembly chaperone	tail	2.3e-53	0.585	NA	NA	NA
N15	N15_pers_AM363_RS03025	AM363_RS03025	1	1	1354.7	1.2	GENOMAD.094121.VV	NA	0.836	3.036e-53	203	NA	NA	NA	NA	NA	NA	NA	NA
N15	N15_pers_AM392_RS27825	AM392_RS27825	1	1	929.5	1.1	GENOMAD.171347.VC	Predicted phage phi-C31 gp36 major capsid-like protein	0.304	1.095e-58	213	phrog_10	major head protein	head and packaging	7.8e-73	0.565	NA	NA	NA
N15	N15_pers_AM441_RS26845	AM441_RS26845	1	1	940.6	1.1	GENOMAD.120555.VV	NA	0.394	1.12e-82	283	phrog_12	portal protein	head and packaging	1.3e-121	0.61	NA	NA	NA
N15	N15_pers_AM441_RS26925	AM441_RS26925	1	1	167.7	1.2	GENOMAD.110952.VV	mobile rSAM pair MarR family regulator	0.845	2.514e-37	134	phrog_1368	transcriptional regulator	transcription regulation	4.1e-5	0.594	NA	NA	NA
N15	N15_pers_AM486_RS28750	AM486_RS28750	0.958	0.958	192.5	1.2	NA	NA	NA	NA	NA	phrog_1373	transcriptional regulator	transcription regulation	1.6e-37	0.554	NA	NA	NA
N15	N15_pers_BB751_RS29015	BB751_RS29015	1	1	666.9	1.2	NA	NA	NA	NA	NA	phrog_1146	ParB-like partition protein	DNA, RNA and nucleotide metabolism	1.6e-121	0.947	parB_big_nr_90_40_FAM5	1.3e-125	0.966
N15	N15_pers_BB784_RS29165	BB784_RS29165	1	0.969	339	1.1	GENOMAD.220417.VV	NA	0.808	7.987e-84	273	NA	NA	NA	NA	NA	NA	NA	NA
N15	N15_pers_BB785_RS29145	BB785_RS29145	1	1	157.5	1.3	GENOMAD.169814.PV	NA	0.928	7.458e-41	144	NA	NA	NA	NA	NA	NA	NA	NA
N15	N15_pers_BKL84_RS28985	BKL84_RS28985	1	1	528.9	1.1	GENOMAD.058019.VV	Phage antitermination protein Q	0.268	2.736e-18	87	phrog_304	anti-termination protein Q-like	transcription regulation	5e-68	0.991	NA	NA	NA
N15	N15_pers_BWI85_RS25155	BWI85_RS25155	1	1	902.2	1	NA	NA	NA	NA	NA	phrog_164	ParA-like partition protein	DNA, RNA and nucleotide metabolism	7.999999999999998e-109	0.774	parA_big_nr_90_40_FAM4	6.799999999999999e-223	0.997
N15	N15_pers_BWI85_RS25400	BWI85_RS25400	1	0.986	146	1.2	GENOMAD.197819.VP	Predicted site-specific integrase-resolvase	0.931	7.732e-33	121	phrog_409	transcriptional regulator	transcription regulation	3.7e-25	0.559	NA	NA	NA
N15	N15_pers_BWI85_RS25410	BWI85_RS25410	1	0.983	2971.9	1.1	GENOMAD.078434.VV	NA	0.961	9.781e-168	568	phrog_4913	replication	DNA, RNA and nucleotide metabolism	0	1.02	NA	NA	NA
N15	N15_pers_CU075_RS28805	CU075_RS28805	1	1	214.4	1.3	GENOMAD.212939.VP	NA	0.261	1.205e-4	42	phrog_536	transcriptional regulator	transcription regulation	3.1e-36	0.93	NA	NA	NA
N15	N15_pers_DPQ49_RS00075	DPQ49_RS00075	1	1	273.5	1.1	GENOMAD.094105.VV	NA	0.773	3.029e-61	206	NA	NA	NA	NA	NA	NA	NA	NA
N15	N15_pers_F9865_RS26940	F9865_RS26940	1	1	634.7	1.2	GENOMAD.160855.VP	signal peptide peptidase SppA, 36K type	0.464	3.709e-14	76	phrog_53	head maturation protease	head and packaging	4.6e-115	0.513	NA	NA	NA
N15	N15_pers_FOZ68_RS28015	FOZ68_RS28015	1	1	214.3	1	GENOMAD.222504.VP	NA	0.716	1.155e-38	139	NA	NA	NA	NA	NA	NA	NA	NA
N15	N15_pers_G7Y81_RS23905	G7Y81_RS23905	1	1	148.3	1.2	GENOMAD.104289.VV	NA	0.863	5.075e-37	133	NA	NA	NA	NA	NA	NA	NA	NA
N15	N15_pers_G7Y81_RS23955	G7Y81_RS23955	1	0.969	203.5	1.2	GENOMAD.209893.VP	NA	0.693	4.017e-30	115	NA	NA	NA	NA	NA	NA	NA	NA
N15	N15_pers_H3G66_RS28755	H3G66_RS28755	1	1	308.5	1.1	GENOMAD.123897.VV	Phage terminase, small subunit	0.495	2.527e-37	138	phrog_361	terminase small subunit	head and packaging	3.9e-5	0.721	NA	NA	NA
N15	N15_pers_HV229_RS26065	HV229_RS26065	1	1	145	1.3	GENOMAD.142122.VV	NA	0.697	1.892e-25	100	phrog_10889	anti-repressor	transcription regulation	2.7e-19	0.728	NA	NA	NA
N15	N15_pers_HVY52_RS25075	HVY52_RS25075	1	0.986	123.6	1.2	GENOMAD.212080.VP	NA	0.857	3.132e-25	98	phrog_1743	transcriptional repressor	transcription regulation	5.2e-23	0.553	NA	NA	NA
N15	N15_pers_HVY73_RS27350	HVY73_RS27350	1	1	204.7	1.2	GENOMAD.116231.VV	NA	0.875	7.843e-55	186	phrog_175	holin	lysis	7.9e-5	0.608	NA	NA	NA
N15	N15_pers_IBX29_RS27485	IBX29_RS27485	1	1	811.7	1	GENOMAD.178401.VP	DNA methylase	0.227	9.274e-18	88	phrog_6952	DNA methyltransferase	other	7.5e-78	1	NA	NA	NA
N15	N15_pers_IS496_RS28680	IS496_RS28680	1	1	503.6	1.4	GENOMAD.171549.VP	Prophage antirepressor	0.252	6.751e-9	59	phrog_245	anti-repressor Ant	transcription regulation	2e-43	0.677	NA	NA	NA
N15	N15_pers_IS496_RS28825	IS496_RS28825	1	1	329.1	1	GENOMAD.219752.VP	NA	0.591	4.579e-47	166	NA	NA	NA	NA	NA	NA	NA	NA
N15	N15_pers_IS498_RS29700	IS498_RS29700	1	0.984	1236.6	1.1	GENOMAD.194580.VP	Phage terminase-like protein, large subunit, contains N-terminal HTH domain	0.354	4.083e-63	231	phrog_9	terminase large subunit	head and packaging	6.6e-182	0.681	NA	NA	NA
N15	N15_pers_IS498_RS29725	IS498_RS29725	1	1	728.5	1.1	GENOMAD.101805.VV	NA	0.833	1.756e-236	728	NA	NA	NA	NA	NA	NA	NA	NA
N15	N15_pers_JMX68_RS30285	JMX68_RS30285	1	1	246.4	1	GENOMAD.172090.VV	Bacteriophage head-tail adaptor	0.723	9.901e-49	169	NA	NA	NA	NA	NA	NA	NA	NA
